player,2020_pos,2020_age,team_id,2020_g,2020_mp,2020_per,2020_ts_pct,2020_fg3a_per_fga_pct,2020_fta_per_fga_pct,2020_orb_pct,2020_drb_pct,2020_trb_pct,2020_ast_pct,2020_stl_pct,2020_blk_pct,2020_tov_pct,2020_usg_pct,2020_ws-dum,2020_ows,2020_dws,2020_ws,2020_ws_per_48,2020_bpm-dum,2020_obpm,2020_dbpm,2020_bpm,2020_vorp,player_id,2021_pos,2021_age,2021_g,2021_mp,2021_per,2021_ts_pct,2021_fg3a_per_fga_pct,2021_fta_per_fga_pct,2021_orb_pct,2021_drb_pct,2021_trb_pct,2021_ast_pct,2021_stl_pct,2021_blk_pct,2021_tov_pct,2021_usg_pct,2021_ws-dum,2021_ows,2021_dws,2021_ws,2021_ws_per_48,2021_bpm-dum,2021_obpm,2021_dbpm,2021_bpm,2021_vorp,2020_salary,2021_salary,img_link
Steven Adams,C,26,NOP,63,1680,20.5,.604,.006,.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,,3.8,2.7,6.5,.185,,1.9,1.1,2.9,2.1,adamsst01,C,27,9,280,17.7,.647,.000,.450,11.4,19.8,15.6,12.4,2.4,3.3,20.9,13.8,,0.4,0.5,0.9,.155,,0.2,1.3,1.5,0.3,25842697,27528090,https://www.2kratings.com/wp-content/uploads/Steven-Adams-2K-Rating.png
Bam Adebayo,PF,22,MIA,72,2417,20.3,.598,.018,.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,,4.6,3.9,8.5,.168,,1.4,2.0,3.4,3.3,adebaba01,C,23,8,243,22.3,.693,.000,.543,4.4,26.0,16.2,27.4,1.6,3.2,21.2,23.1,,0.6,0.4,1.0,.203,,1.6,3.0,4.6,0.4,3454080,5115492,https://www.2kratings.com/wp-content/uploads/Bam-Adebayo-2K-Rating.png
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,.571,.198,.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,,3.0,1.4,4.5,.122,,1.8,-0.5,1.4,1.5,aldrila01,C,35,6,167,13.7,.509,.325,.096,2.9,14.0,8.2,10.9,0.9,2.4,6.5,23.6,,0.0,0.1,0.1,.030,,-1.9,-1.5,-3.4,-0.1,26000000,24000000,https://www.2kratings.com/wp-content/uploads/LaMarcus-Aldridge-2K-Rating.png
Kyle Alexander,C,23,MIA,2,13,4.7,.500,.000,.000,17.9,8.3,12.9,0.0,0.0,0.0,33.3,10.2,,0.0,0.0,0.0,-0.003,,-6.1,-3.5,-9.6,0.0,alexaky01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/req/202101021/images/players/alexaky01.jpg
Nickeil Alexander-Walker,SG,21,NOP,47,591,8.9,.473,.500,.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,,-0.7,0.4,-0.2,-0.020,,-3.2,-1.4,-4.6,-0.4,alexani01,SG,22,7,103,10.9,.486,.463,.111,2.1,10.5,6.4,16.2,2.8,1.1,13.7,27.2,,-0.1,0.2,0.0,.016,,-3.5,-0.5,-4.0,-0.1,2964840,3113160,https://www.2kratings.com/wp-content/uploads/Nickeil-Alexander-Walker-2K-Rating.png
Grayson Allen,SG,24,MEM,38,718,12.0,.609,.562,.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,,0.8,0.4,1.2,.082,,-0.1,-1.2,-1.3,0.1,allengr01,SG,25,8,161,8.4,.468,.795,.282,3.8,9.3,6.5,11.3,2.1,0.5,13.8,13.3,,0.0,0.2,0.1,.042,,-3.3,-0.5,-3.8,-0.1,2429400,2545320,https://www.2kratings.com/wp-content/uploads/Grayson-Allen-2K-Rating.png
Jarrett Allen,C,21,BRK,70,1852,20.7,.664,.013,.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,,5.2,2.9,8.2,.212,,1.4,1.0,2.3,2.0,allenja01,C,22,10,251,24.0,.733,.000,1.096,15.9,27.7,22.1,8.7,1.1,4.9,18.1,15.7,,1.0,0.5,1.5,.284,,2.2,0.9,3.2,0.3,2376840,3909902,https://www.2kratings.com/wp-content/uploads/Jarrett-Allen-2K-Rating.png
Kadeem Allen,PG,27,NYK,10,117,14.0,.512,.364,.250,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,.053,,-0.1,-0.6,-0.7,0.0,allenka01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/req/202101021/images/players/allenka01.jpg
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,.395,.419,.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,,-0.4,0.5,0.1,.014,,-4.4,1.4,-3.0,-0.1,aminual01,,,,,,,,,,,,,,,,,,,,,,,,,,,9258000,9720900,https://www.2kratings.com/wp-content/uploads/Al-Farouq-Aminu-2K-Rating.png
Justin Anderson,SG,26,BRK,10,107,3.2,.352,.763,.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,,-0.2,0.1,-0.1,-0.054,,-6.8,-0.9,-7.7,-0.2,anderju01,,,,,,,,,,,,,,,,,,,,,,,,,,,98144,125000,https://www.2kratings.com/wp-content/uploads/Justin-Anderson-2K-Rating.png
Kyle Anderson,SF,26,MEM,67,1330,12.5,.534,.257,.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,,0.9,1.7,2.5,.091,,-1.5,2.0,0.5,0.9,anderky01,PF,27,9,274,12.9,.518,.407,.195,3.7,22.2,12.8,17.5,0.7,1.9,14.6,22.1,,0.0,0.3,0.3,.048,,-1.0,-0.8,-1.9,0.0,9073050,9505100,https://www.2kratings.com/wp-content/uploads/Kyle-Anderson-2K-Rating.png
Ryan Anderson,C,31,HOU,2,14,9.4,.357,.714,.000,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,,0.0,0.0,0.0,-0.037,,-3.3,0.5,-2.8,0.0,anderry01,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,5214583,https://www.basketball-reference.com/req/202101021/images/players/anderry01.jpg
Giannis Antetokounmpo,PF,25,MIL,63,1917,31.9,.613,.237,.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,,6.1,5.0,11.1,.279,,7.4,4.1,11.5,6.6,antetgi01,PF,26,9,282,27.7,.592,.273,.564,6.2,29.0,17.9,26.6,1.8,2.5,12.7,34.8,,0.9,0.5,1.3,.228,,3.8,0.7,4.5,0.5,25842697,27528090,https://www.2kratings.com/wp-content/uploads/Giannis-Antetokounmpo-2K-Rating.png
Kostas Antetokounmpo,PF,22,LAL,5,20,16.3,.902,.000,.667,11.1,5.4,8.2,13.7,0.0,0.0,20.5,10.3,,0.1,0.0,0.1,.193,,0.2,-0.9,-0.7,0.0,antetko01,PF,23,1,8,-9.3,.000,.000,.000,0.0,51.2,26.8,0.0,0.0,20.8,50.0,21.5,,-0.1,0.0,-0.1,-0.413,,-19.3,2.0,-17.3,0.0,,,https://www.2kratings.com/wp-content/uploads/Kostas-Antetokounmpo-2K-Rating.png
Thanasis Antetokounmpo,SF,27,MIL,20,129,12.2,.496,.208,.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,,-0.1,0.2,0.2,.070,,-4.6,1.4,-3.2,0.0,antetth01,SF,28,9,104,8.2,.699,.294,.118,8.4,10.9,9.7,11.6,0.9,0.9,35.9,11.1,,0.1,0.1,0.2,.072,,-4.1,-0.9,-5.1,-0.1,1445697,1701593,https://www.2kratings.com/wp-content/uploads/Thanasis-Antetokounmpo-2K-Rating.png
Carmelo Anthony,PF,35,POR,58,1902,12.4,.525,.289,.206,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,,0.4,0.9,1.3,.033,,-1.8,-1.8,-3.6,-0.8,anthoca01,PF,36,8,191,13.1,.560,.411,.425,1.1,13.8,7.4,6.0,1.2,1.0,6.5,20.5,,0.2,0.1,0.3,.083,,-1.6,-2.3,-3.9,-0.1,2159029,2564753,https://www.2kratings.com/wp-content/uploads/Carmelo-Anthony-2K-Rating.png
OG Anunoby,SF,22,TOR,69,2066,13.2,.600,.403,.180,4.2,14.2,9.3,7.5,2.2,2.1,11.5,14.3,,2.1,3.7,5.7,.134,,-0.8,1.9,1.2,1.7,anunoog01,SF,23,8,276,11.5,.565,.608,.392,3.7,13.7,8.5,6.7,2.6,1.4,13.0,15.3,,0.2,0.3,0.4,.075,,-2.3,0.1,-2.3,0.0,2281800,3872215,https://www.2kratings.com/wp-content/uploads/OG-Anunoby-2K-Rating.png
Ryan Arcidiacono,PG,25,CHI,58,930,9.0,.551,.627,.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,,0.7,0.7,1.4,.071,,-2.7,-0.1,-2.8,-0.2,arcidry01,PG,26,2,28,15.0,.484,.556,.333,0.0,23.3,11.8,18.9,3.3,0.0,0.0,15.2,,0.0,0.0,0.1,.125,,-2.9,2.9,0.0,0.0,3000000,3000000,https://www.2kratings.com/wp-content/uploads/Ryan-Arcidiacono-2K-Rating.png
Trevor Ariza,SF,34,TOT,53,1493,11.0,.593,.639,.228,2.5,15.7,9.0,8.0,2.2,0.9,13.6,11.8,,1.3,1.2,2.5,.081,,-1.4,0.9,-0.5,0.5,arizatr01,,,,,,,,,,,,,,,,,,,,,,,,,,,12200000,12800000,https://www.2kratings.com/wp-content/uploads/Trevor-Ariza-2K-Rating.png
D.J. Augustin,PG,32,MIL,57,1420,14.0,.554,.436,.393,1.6,7.8,4.6,26.8,1.2,0.1,13.7,19.1,,2.0,0.9,2.9,.098,,-0.3,-1.3,-1.6,0.2,augusdj01,PG,33,9,159,10.5,.525,.696,.174,3.4,5.2,4.3,18.8,0.9,0.0,13.9,15.0,,0.2,0.1,0.3,.092,,-0.4,-2.3,-2.7,0.0,7250000,6666667,https://www.basketball-reference.com/req/202101021/images/players/augusdj01.jpg
Deandre Ayton,C,21,PHO,38,1236,20.0,.568,.023,.157,13.0,26.3,19.6,9.7,1.0,4.1,11.6,23.7,,1.5,1.6,3.1,.121,,0.8,-0.4,0.4,0.7,aytonde01,C,22,10,307,17.6,.608,.042,.263,10.8,31.9,21.5,9.5,0.5,2.9,13.8,18.2,,0.5,0.5,1.1,.168,,-0.8,0.5,-0.3,0.1,9562920,10018200,https://www.2kratings.com/wp-content/uploads/Deandre-Ayton-2K-Rating.png
Dwayne Bacon,SG,24,ORL,39,687,6.1,.419,.275,.217,2.3,14.0,7.9,11.7,1.7,0.3,12.2,19.5,,-1.2,0.4,-0.8,-0.053,,-5.9,-0.9,-6.8,-0.8,bacondw01,SG,25,10,249,8.4,.501,.256,.128,1.2,11.8,6.2,5.9,0.8,0.4,8.1,16.7,,0.0,0.2,0.1,.029,,-3.4,-1.7,-5.1,-0.2,1618520,1678854,https://www.2kratings.com/wp-content/uploads/Dwayne-Bacon-2K-Rating.png
Marvin Bagley III,C,20,SAC,13,334,15.6,.512,.132,.186,9.5,23.5,16.3,4.9,0.9,3.4,9.1,25.8,,0.0,0.3,0.4,.051,,-2.2,-1.3,-3.5,-0.1,baglema01,PF,21,10,257,10.9,.473,.212,.314,10.0,25.2,17.2,4.8,0.7,1.7,13.0,25.3,,-0.3,0.0,-0.3,-0.049,,-4.2,-3.8,-8.0,-0.4,8556120,8963640,https://www.2kratings.com/wp-content/uploads/Marvin-Bagley-III-2K-Rating.png
Lonzo Ball,PG,22,NOP,63,2025,13.1,.517,.575,.111,3.7,16.4,10.0,29.1,2.0,1.6,21.1,18.5,,0.4,2.0,2.4,.058,,0.1,0.6,0.6,1.3,balllo01,PG,23,9,301,9.1,.494,.596,.092,1.5,12.6,7.1,20.1,1.6,2.3,18.7,19.7,,-0.3,0.4,0.1,.020,,-2.8,-0.5,-3.3,-0.1,8719320,11003782,https://www.2kratings.com/wp-content/uploads/Lonzo-Ball-2K-Rating.png
Mo Bamba,C,21,ORL,62,878,17.5,.542,.374,.161,11.9,25.6,18.5,7.2,1.3,8.8,12.1,17.1,,0.8,1.7,2.5,.135,,-1.2,1.6,0.4,0.5,bambamo01,C,22,3,22,16.2,.545,.455,.000,8.9,39.6,23.5,7.5,0.0,4.0,8.3,23.0,,0.0,0.0,0.1,.127,,-1.1,-0.4,-1.5,0.0,5697600,5969040,https://www.2kratings.com/wp-content/uploads/Mo-Bamba-2K-Rating.png
J.J. Barea,PG,35,DAL,29,450,14.6,.512,.411,.106,2.4,9.9,6.2,37.1,0.5,0.4,14.9,24.2,,0.5,0.2,0.7,.072,,1.6,-3.0,-1.4,0.1,bareajo01,,,,,,,,,,,,,,,,,,,,,,,,,,,2564753,2564753,https://www.basketball-reference.com/req/202101021/images/players/bareajo01.jpg
Harrison Barnes,PF,27,SAC,72,2482,13.3,.574,.338,.337,3.4,12.9,8.1,9.2,0.8,0.5,8.8,17.4,,3.4,1.1,4.6,.088,,0.0,-1.3,-1.3,0.5,barneha02,PF,28,10,344,17.3,.615,.310,.388,3.3,19.2,10.8,14.0,1.0,0.8,9.3,18.4,,0.8,0.0,0.7,.104,,2.0,-1.1,1.0,0.3,24147727,22215909,https://www.2kratings.com/wp-content/uploads/Harrison-Barnes-2K-Rating.png
RJ Barrett,SG,19,NYK,56,1704,10.7,.479,.271,.349,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,,-1.6,1.1,-0.5,-0.015,,-2.9,-1.5,-4.3,-1.0,barrerj01,SG,20,9,349,11.3,.458,.280,.307,3.4,15.5,9.6,13.0,1.4,0.5,7.6,22.9,,-0.2,0.5,0.3,.042,,-2.4,-0.4,-2.9,-0.1,7839960,8231760,https://www.2kratings.com/wp-content/uploads/RJ-Barrett-2K-Rating.png
Will Barton,SF,29,DEN,58,1916,15.6,.549,.390,.180,4.5,16.9,10.7,16.0,1.6,1.4,9.9,20.1,,2.4,1.8,4.2,.106,,1.2,-0.2,1.1,1.5,bartowi01,SF,30,9,258,12.6,.489,.337,.200,3.2,15.9,9.7,13.9,1.9,2.1,8.8,18.9,,0.1,0.2,0.3,.050,,-1.1,-1.4,-2.5,0.0,12960000,13920000,https://www.2kratings.com/wp-content/uploads/Will-Barton-2K-Rating.png
Keita Bates-Diop,PF-SF,24,SAS,44,744,12.4,.539,.440,.321,3.5,15.1,9.1,5.8,1.2,2.7,6.0,15.8,,0.6,0.6,1.2,.078,,-1.0,-0.4,-1.4,0.1,bateske01,SF,25,2,2,-20.1,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,,0.0,0.0,0.0,-0.549,,-19.1,-11.7,-30.8,0.0,1416852,,https://www.2kratings.com/wp-content/uploads/Keita-Bates-Diop-2K-Rating.png
Nicolas Batum,SF,31,LAC,22,505,9.2,.463,.605,.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,,0.2,0.4,0.6,.055,,-2.8,0.9,-1.9,0.0,batumni01,SF,32,10,294,16.4,.664,.597,.222,5.5,18.0,11.8,14.0,1.7,0.7,9.2,13.2,,0.8,0.2,1.0,.170,,1.8,-0.2,1.6,0.3,25565217,29695187,https://www.2kratings.com/wp-content/uploads/Nicolas-Batum-2K-Rating.png
Aron Baynes,C,33,TOR,42,934,15.2,.581,.441,.197,8.3,20.0,14.1,10.9,0.5,2.1,10.8,21.1,,1.3,0.8,2.1,.107,,-0.2,-0.8,-1.0,0.2,baynear01,C,34,7,135,5.2,.411,.356,.000,8.4,23.9,15.9,4.3,0.3,0.0,11.8,16.0,,-0.2,0.1,-0.1,-0.032,,-5.6,-3.1,-8.7,-0.2,5453280,6975610,https://www.2kratings.com/wp-content/uploads/Aron-Baynes-2K-Rating.png
Kent Bazemore,SF,30,GSW,68,1688,9.3,.499,.457,.275,1.7,17.1,9.4,7.4,2.1,2.1,13.2,17.5,,-0.9,1.5,0.6,.017,,-3.4,0.3,-3.1,-0.5,bazemke01,SF,31,7,108,11.9,.612,.462,.154,2.9,14.4,8.6,16.8,1.7,1.7,15.3,12.6,,0.1,0.1,0.2,.095,,-1.4,0.6,-0.8,0.0,19269662,2320044,https://www.2kratings.com/wp-content/uploads/Kent-Bazemore-2K-Rating.png
Darius Bazley,PF,19,OKC,61,1130,9.6,.497,.445,.196,3.0,20.5,12.0,5.1,1.0,3.1,11.6,15.1,,-0.5,1.5,1.0,.041,,-2.1,0.5,-1.6,0.1,bazleda01,PF,20,8,237,11.6,.509,.438,.135,2.6,26.4,14.8,8.2,0.8,3.0,14.5,20.3,,-0.3,0.4,0.1,.027,,-2.7,-0.2,-3.0,-0.1,2284800,2399160,https://www.2kratings.com/wp-content/uploads/Darius-Bazley-2K-Rating.png
Bradley Beal,SG,26,WAS,57,2053,23.2,.579,.369,.351,2.7,10.5,6.4,29.5,1.6,1.0,11.4,34.4,,4.5,0.6,5.1,.118,,5.3,-2.4,2.9,2.5,bealbr01,SG,27,9,324,26.1,.604,.256,.386,4.1,11.3,7.5,22.2,1.7,1.6,10.9,36.9,,0.9,0.1,1.0,.148,,5.8,-1.8,4.0,0.5,27093019,28751775,https://www.2kratings.com/wp-content/uploads/Bradley-Beal-2K-Rating.png
Malik Beasley,SG,23,MIN,55,1209,12.7,.546,.517,.124,1.6,11.9,6.7,9.4,1.6,0.6,9.2,21.8,,0.4,0.8,1.2,.049,,-0.7,-1.4,-2.1,0.0,beaslma01,SG,24,9,288,15.5,.567,.420,.196,2.1,14.9,8.1,9.2,0.8,0.6,7.4,23.3,,0.4,-0.1,0.3,.056,,0.9,-3.1,-2.3,0.0,2731714,13325895,https://www.2kratings.com/wp-content/uploads/Malik-Beasley-2K-Rating.png
Marco Belinelli,SG,33,SAS,57,883,10.8,.532,.567,.185,0.9,11.2,6.0,10.7,0.6,0.1,5.3,17.5,,0.7,0.2,0.8,.046,,-0.7,-2.0,-2.7,-0.2,belinma01,,,,,,,,,,,,,,,,,,,,,,,,,,,5846154,,https://www.basketball-reference.com/req/202101021/images/players/belinma01.jpg
Jordan Bell,C,25,TOT,29,256,13.9,.577,.179,.463,12.0,21.8,16.7,8.9,0.5,3.2,20.7,16.4,,0.2,0.2,0.4,.070,,-1.4,-1.1,-2.5,0.0,belljo01,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,,https://www.basketball-reference.com/req/202101021/images/players/belljo01.jpg
DeAndre' Bembry,SG,25,TOR,43,915,9.6,.500,.285,.211,4.0,14.1,8.9,12.3,2.8,1.7,19.4,14.0,,-0.5,0.8,0.2,.012,,-3.5,1.1,-2.5,-0.1,bembrde01,SF,26,5,18,1.5,.500,.000,.000,0.0,18.6,8.9,15.7,2.6,5.3,50.0,18.9,,-0.1,0.0,-0.1,-0.177,,-11.2,0.9,-10.3,0.0,2603982,1737145,https://www.2kratings.com/wp-content/uploads/DeAndre-Bembry-2K-Rating.png
Dragan Bender,PF-C,22,TOT,16,286,10.9,.545,.467,.152,5.9,21.1,13.5,14.4,0.7,2.8,17.6,17.7,,0.0,0.3,0.3,.052,,-3.0,0.1,-3.0,-0.1,bendedr01,,,,,,,,,,,,,,,,,,,,,,,,,,,189702,,https://www.basketball-reference.com/req/202101021/images/players/bendedr01.jpg
Dāvis Bertāns,PF,27,WAS,54,1583,15.5,.628,.774,.200,2.3,15.1,8.5,8.4,1.1,1.8,8.2,19.0,,3.0,0.5,3.5,.107,,2.7,-1.8,0.9,1.1,bertada01,PF,28,10,240,11.5,.537,.837,.304,2.6,12.4,7.2,7.0,1.1,1.1,4.6,18.6,,0.2,0.1,0.3,.058,,0.1,-2.5,-2.4,0.0,7000000,13793103,https://www.2kratings.com/wp-content/uploads/Davis-Bertans-2K-Rating.png
Patrick Beverley,PG,31,LAC,51,1342,12.5,.560,.604,.138,4.5,15.8,10.3,18.2,1.9,1.6,15.4,13.3,,1.6,2.0,3.6,.128,,-0.3,2.5,2.2,1.4,beverpa01,PG,32,10,255,12.6,.614,.636,.167,7.3,11.7,9.5,8.8,1.6,2.0,11.3,13.9,,0.5,0.1,0.6,.115,,-0.7,-0.8,-1.4,0.0,12345679,13333333,https://www.2kratings.com/wp-content/uploads/Patrick-Beverley-2K-Rating.png
Khem Birch,C,27,ORL,48,922,11.7,.566,.007,.706,10.3,15.6,12.9,7.3,1.1,2.3,14.2,10.2,,1.2,0.9,2.2,.112,,-2.5,0.2,-2.4,-0.1,birchkh01,C,28,10,199,20.1,.639,.019,.377,12.3,19.1,15.6,6.6,2.4,1.8,8.8,14.4,,0.6,0.3,0.9,.217,,0.8,0.5,1.3,0.2,3000000,3000000,https://www.2kratings.com/wp-content/uploads/Khem-Birch-2K-Rating.png
Goga Bitadze,C,20,IND,54,471,12.1,.523,.280,.220,5.9,18.7,12.3,6.7,1.0,6.9,14.5,17.9,,-0.1,0.8,0.7,.067,,-4.1,1.8,-2.3,0.0,bitadgo01,,,,,,,,,,,,,,,,,,,,,,,,,,,2816760,2957520,https://www.2kratings.com/wp-content/uploads/Goga-Bitadze-2K-Rating.png
Bismack Biyombo,C,27,CHO,53,1029,16.1,.570,.000,.543,12.3,20.7,16.3,7.8,0.5,4.4,12.2,16.8,,1.5,0.9,2.4,.113,,-1.8,-0.7,-2.5,-0.1,biyombi01,C,28,10,268,12.8,.552,.016,.484,10.9,16.9,13.8,11.4,0.2,4.0,14.7,13.9,,0.3,0.2,0.5,.096,,-2.2,-1.6,-3.7,-0.1,17000000,2331593,https://www.2kratings.com/wp-content/uploads/Bismack-Biyombo-2K-Rating.png
Nemanja Bjelica,PF,31,SAC,72,2011,15.7,.602,.490,.129,6.1,19.9,12.8,14.7,1.5,1.9,12.5,17.0,,3.4,1.9,5.3,.127,,1.2,0.5,1.7,1.9,bjeline01,PF,32,10,151,12.2,.540,.412,.451,6.8,19.9,13.0,18.0,0.0,1.2,16.4,20.4,,0.1,0.0,0.1,.028,,-2.3,-2.0,-4.2,-0.1,6825000,7150000,https://www.2kratings.com/wp-content/uploads/Nemanja-Bjelica-2K-Rating.png
Eric Bledsoe,PG,30,NOP,61,1646,17.6,.571,.306,.304,2.8,13.5,8.5,28.7,1.6,1.4,15.7,23.7,,2.4,3.0,5.4,.157,,0.8,1.1,1.8,1.6,bledser01,SG,31,9,269,13.1,.558,.517,.207,2.0,9.7,5.9,21.9,1.8,1.3,15.9,17.9,,0.2,0.3,0.5,.097,,-0.3,-0.3,-0.5,0.1,15625000,16875000,https://www.2kratings.com/wp-content/uploads/Eric-Bledsoe-2K-Rating.png
Bogdan Bogdanović,SG,27,ATL,61,1766,15.1,.565,.576,.151,1.6,11.8,6.6,18.0,1.8,0.8,11.1,22.6,,1.8,1.3,3.1,.084,,1.2,-0.5,0.6,1.2,bogdabo01,SG,28,9,213,10.1,.543,.744,.115,1.0,15.4,8.2,13.1,0.9,0.4,11.8,18.1,,0.1,0.2,0.3,.061,,-0.8,-1.3,-2.1,0.0,8529386,18000000,https://www.2kratings.com/wp-content/uploads/Bogdan-Bogdanovic-2K-Rating.png
Bojan Bogdanović,SF,30,UTA,63,2083,15.6,.603,.489,.296,2.1,11.2,6.8,10.0,0.8,0.3,13.1,25.5,,2.6,1.6,4.2,.096,,1.6,-1.5,0.1,1.1,bogdabo02,SF,31,9,277,7.8,.487,.545,.145,2.7,9.2,6.0,7.1,0.5,0.3,10.0,19.9,,-0.1,0.1,0.0,.006,,-3.4,-2.7,-6.1,-0.3,17000000,17850000,https://www.2kratings.com/wp-content/uploads/Bojan-Bogdanovic-2K-Rating.png
Bol Bol,PF,20,DEN,7,87,14.4,.617,.321,.357,6.4,18.0,12.2,9.8,1.1,6.4,23.6,21.2,,0.0,0.1,0.1,.063,,-2.1,-0.7,-2.9,0.0,bolbo01,PF,21,4,16,-8.9,.000,.500,.000,0.0,7.1,3.6,0.0,0.0,5.7,0.0,10.7,,-0.1,0.0,-0.1,-0.246,,-12.6,-5.6,-18.2,-0.1,,2058240,https://www.2kratings.com/wp-content/uploads/Bol-Bol-2K-Rating.png
Jonah Bolden,C,24,TOT,7,47,4.9,.392,.364,.364,7.0,14.3,10.6,0.0,3.0,3.7,13.6,13.4,,-0.1,0.1,0.0,-0.006,,-8.7,-0.1,-8.8,-0.1,boldejo01,,,,,,,,,,,,,,,,,,,,,,,,,,,81678,,https://www.basketball-reference.com/req/202101021/images/players/boldejo01.jpg
Marques Bolden,C,21,CLE,1,3,19.8,,,,0.0,74.7,37.0,0.0,16.2,0.0,,0.0,,0.0,0.0,0.0,.282,,-5.9,11.3,5.4,0.0,boldema01,C,22,5,19,24.4,.634,.000,4.000,5.6,17.5,11.4,0.0,5.2,10.2,0.0,12.7,,0.1,0.1,0.1,.300,,2.6,5.5,8.2,0.0,50752,,https://www.2kratings.com/wp-content/uploads/Marques-Bolden-2K-Rating.png
Jordan Bone,PG,22,ORL,10,53,0.8,.300,.500,.000,0.0,8.7,4.3,21.0,0.9,0.0,9.1,18.1,,-0.1,0.0,-0.1,-0.117,,-9.1,-2.8,-11.9,-0.1,bonejo01,PG,23,5,64,12.6,.526,.474,.000,3.1,11.9,7.3,18.1,0.0,0.0,0.0,12.5,,0.1,0.0,0.2,.115,,-0.6,-1.6,-2.2,0.0,,,https://www.2kratings.com/wp-content/uploads/Jordan-Bone-2K-Rating.png
Isaac Bonga,SF,20,WAS,66,1250,10.2,.608,.303,.363,6.0,13.8,9.7,7.9,1.7,1.5,17.6,11.0,,1.2,0.6,1.8,.068,,-2.7,-0.1,-2.8,-0.3,bongais01,SF,21,7,82,11.6,.781,.692,.077,3.8,18.2,10.6,9.0,1.1,3.2,18.2,8.2,,0.1,0.0,0.2,.102,,0.0,0.4,0.4,0.0,1416852,1663861,https://www.2kratings.com/wp-content/uploads/Isaac-Bonga-2K-Rating.png
Devin Booker,SG,23,PHO,70,2512,20.6,.618,.310,.397,1.3,12.0,6.6,30.0,0.9,0.6,14.9,30.0,,6.0,1.5,7.5,.143,,3.4,-1.3,2.2,2.6,bookede01,SG,24,10,357,15.2,.592,.389,.333,1.0,9.3,5.2,21.4,1.5,0.8,18.8,29.1,,0.1,0.4,0.5,.066,,-0.5,-0.7,-1.3,0.1,27250000,29430000,https://www.2kratings.com/wp-content/uploads/Devin-Booker-2K-Rating.png
Chris Boucher,C,27,TOR,62,819,20.7,.587,.395,.388,14.1,21.4,17.9,4.8,1.3,7.3,7.4,19.7,,2.1,1.8,3.8,.224,,1.0,1.0,2.0,0.8,bouchch01,C,28,8,166,27.3,.672,.368,.412,9.3,22.1,15.5,8.3,1.4,9.9,7.0,22.1,,0.6,0.3,0.9,.260,,4.2,1.2,5.4,0.3,1588231,6490385,https://www.2kratings.com/wp-content/uploads/Chris-Boucher-2K-Rating.png
Brian Bowen,SF,21,IND,6,31,0.1,.300,.200,.000,3.6,21.0,12.4,0.0,0.0,2.8,9.1,15.6,,-0.1,0.0,-0.1,-0.107,,-9.1,-1.6,-10.7,-0.1,bowenbr02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/req/202101021/images/players/bowenbr02.jpg
Ky Bowman,PG,22,GSW,45,1015,9.1,.494,.333,.128,2.5,10.7,6.5,19.4,2.1,0.9,17.1,17.2,,-0.6,0.6,-0.1,-0.003,,-4.0,-0.3,-4.3,-0.6,bowmaky01,,,,,,,,,,,,,,,,,,,,,,,,,,,350189,,https://www.basketball-reference.com/req/202101021/images/players/bowmaky01.jpg
Avery Bradley,SG,29,MIA,49,1186,8.9,.537,.452,.063,1.7,8.9,5.3,7.2,1.7,0.4,10.7,15.7,,0.2,1.4,1.5,.062,,-3.0,0.5,-2.5,-0.2,bradlav01,SG,30,7,160,13.0,.637,.569,.176,0.7,7.5,4.4,11.4,1.8,0.6,8.3,16.5,,0.2,0.2,0.4,.119,,-0.9,0.1,-0.8,0.0,2000000,5635000,https://www.2kratings.com/wp-content/uploads/Avery-Bradley-2K-Rating.png
