player,2020_pos,2020_age,team_id,2020_g,2020_mp,2020_per,2020_ts_pct,2020_fg3a_per_fga_pct,2020_fta_per_fga_pct,2020_orb_pct,2020_drb_pct,2020_trb_pct,2020_ast_pct,2020_stl_pct,2020_blk_pct,2020_tov_pct,2020_usg_pct,2020_ws-dum,2020_ows,2020_dws,2020_ws,2020_ws_per_48,2020_bpm-dum,2020_obpm,2020_dbpm,2020_bpm,2020_vorp,player_id,2021_pos,2021_age,2021_g,2021_mp,2021_per,2021_ts_pct,2021_fg3a_per_fga_pct,2021_fta_per_fga_pct,2021_orb_pct,2021_drb_pct,2021_trb_pct,2021_ast_pct,2021_stl_pct,2021_blk_pct,2021_tov_pct,2021_usg_pct,2021_ws-dum,2021_ows,2021_dws,2021_ws,2021_ws_per_48,2021_bpm-dum,2021_obpm,2021_dbpm,2021_bpm,2021_vorp,2020_salary,2021_salary,img_link
Gary Payton II,SF,27,WAS,29,432,11.3,.473,.397,.069,6.3,14.2,10.1,14.8,3.6,1.4,14.3,13.4,,0.0,0.4,0.5,.051,,-3.2,1.6,-1.6,0.0,paytoga02,,,,,,,,,,,,,,,,,,,,,,,,,,,1090781,,https://www.basketball-reference.com/req/202101021/images/players/paytoga02.jpg
Norvel Pelle,C,26,PHI,24,232,10.5,.526,.021,.292,9.5,24.8,17.1,4.6,0.6,11.4,24.9,13.4,,-0.2,0.5,0.3,.069,,-7.8,2.6,-5.2,-0.2,pelleno01,,,,,,,,,,,,,,,,,,,,,,,,,,,350189,,https://www.basketball-reference.com/req/202101021/images/players/pelleno01.jpg
Theo Pinson,SG,24,NYK,33,365,5.2,.370,.516,.103,2.9,12.2,7.7,21.7,2.2,0.9,16.9,22.3,,-1.0,0.4,-0.6,-0.078,,-6.8,-0.2,-7.0,-0.5,pinsoth01,SG,25,4,9,-12.5,.000,1.000,.000,0.0,11.1,5.7,0.0,0.0,0.0,0.0,14.5,,-0.1,0.0,-0.1,-0.318,,-12.9,-4.9,-17.8,0.0,1445697,,https://www.2kratings.com/wp-content/uploads/Theo-Pinson-2K-Rating.png
Mason Plumlee,C,29,DET,61,1057,18.8,.613,.017,.538,10.4,23.2,16.8,20.9,1.5,3.3,18.7,18.0,,2.0,1.4,3.4,.153,,0.3,1.7,2.0,1.1,plumlma01,C,30,9,247,17.6,.610,.063,.521,11.1,27.2,18.5,18.6,2.5,2.1,19.2,12.5,,0.5,0.3,0.8,.158,,-0.7,1.9,1.2,0.2,14041096,8000000,https://www.2kratings.com/wp-content/uploads/Mason-Plumlee-2K-Rating.png
Jakob Poeltl,C,24,SAS,66,1171,19.1,.612,.000,.323,12.1,22.5,17.3,13.6,1.5,7.1,15.1,13.2,,2.4,1.6,4.0,.163,,0.5,2.0,2.5,1.3,poeltja01,C,25,9,182,13.1,.490,.000,.297,13.4,20.4,16.7,14.2,1.3,1.3,19.3,12.1,,0.2,0.2,0.3,.083,,-2.2,-0.7,-2.9,0.0,3754886,8101852,https://www.2kratings.com/wp-content/uploads/Jakob-Poeltl-2K-Rating.png
Vincent Poirier,C,26,PHI,22,130,12.7,.525,.056,.194,10.8,24.4,17.7,8.5,0.7,6.4,17.0,15.4,,0.1,0.2,0.3,.113,,-4.8,1.0,-3.8,-0.1,poirivi01,C,27,3,14,9.8,.420,.000,1.333,16.2,7.1,11.3,8.9,0.0,6.0,17.4,17.2,,0.0,0.0,0.0,.031,,-4.7,-1.2,-5.9,0.0,2505793,2619207,https://www.2kratings.com/wp-content/uploads/Vincent-Poirier-2K-Rating.png
Shamorie Ponds,PG,21,TOR,4,11,33.1,.765,.400,.400,0.0,9.4,4.8,32.4,0.0,8.9,0.0,22.8,,0.1,0.0,0.1,.450,,8.4,5.3,13.7,0.0,pondssh01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/req/202101021/images/players/pondssh01.jpg
Jordan Poole,SG,20,GSW,57,1274,7.2,.454,.528,.237,0.7,9.6,5.0,15.8,1.3,0.7,11.8,21.1,,-1.6,0.4,-1.2,-0.047,,-4.4,-2.2,-6.6,-1.5,poolejo01,SG,21,6,71,12.0,.576,.586,.310,1.5,10.2,5.8,10.6,0.6,0.0,10.8,21.6,,0.1,0.0,0.1,.054,,-1.8,-2.5,-4.3,0.0,1964760,2063280,https://www.2kratings.com/wp-content/uploads/Jordan-Poole-2K-Rating.png
Kevin Porter Jr.,SF,19,CLE,50,1162,10.8,.535,.375,.240,2.1,13.5,7.7,13.9,1.9,1.0,16.7,20.5,,-0.3,0.6,0.3,.012,,-3.2,-0.6,-3.8,-0.5,porteke02,,,,,,,,,,,,,,,,,,,,,,,,,,,1290960,2033160,https://www.basketball-reference.com/req/202101021/images/players/porteke02.jpg
Michael Porter Jr.,SF,21,DEN,55,903,19.8,.617,.384,.188,8.2,23.9,16.1,7.9,1.5,2.6,10.6,22.3,,1.8,1.1,2.9,.154,,2.4,-0.8,1.5,0.8,portemi01,SF,22,4,117,26.3,.690,.491,.151,5.1,21.4,13.5,9.7,1.7,4.7,3.4,21.5,,0.5,0.1,0.6,.243,,6.8,-0.7,6.1,0.2,3389400,3550800,https://www.basketball-reference.com/req/202101021/images/players/portemi01.jpg
