player,2020_pos,2020_age,team_id,2020_g,2020_gs,2020_mp_per_g,2020_fg_per_g,2020_fga_per_g,2020_fg_pct,2020_fg3_per_g,2020_fg3a_per_g,2020_fg3_pct,2020_fg2_per_g,2020_fg2a_per_g,2020_fg2_pct,2020_efg_pct,2020_ft_per_g,2020_fta_per_g,2020_ft_pct,2020_orb_per_g,2020_drb_per_g,2020_trb_per_g,2020_ast_per_g,2020_stl_per_g,2020_blk_per_g,2020_tov_per_g,2020_pf_per_g,2020_pts_per_g,player_id,2021_pos,2021_age,2021_g,2021_gs,2021_mp_per_g,2021_fg_per_g,2021_fga_per_g,2021_fg_pct,2021_fg3_per_g,2021_fg3a_per_g,2021_fg3_pct,2021_fg2_per_g,2021_fg2a_per_g,2021_fg2_pct,2021_efg_pct,2021_ft_per_g,2021_fta_per_g,2021_ft_pct,2021_orb_per_g,2021_drb_per_g,2021_trb_per_g,2021_ast_per_g,2021_stl_per_g,2021_blk_per_g,2021_tov_per_g,2021_pf_per_g,2021_pts_per_g,2020_mp,2020_per,2020_ts_pct,2020_fg3a_per_fga_pct,2020_fta_per_fga_pct,2020_orb_pct,2020_drb_pct,2020_trb_pct,2020_ast_pct,2020_stl_pct,2020_blk_pct,2020_tov_pct,2020_usg_pct,2020_ws-dum,2020_ows,2020_dws,2020_ws,2020_ws_per_48,2020_bpm-dum,2020_obpm,2020_dbpm,2020_bpm,2020_vorp,2021_mp,2021_per,2021_ts_pct,2021_fg3a_per_fga_pct,2021_fta_per_fga_pct,2021_orb_pct,2021_drb_pct,2021_trb_pct,2021_ast_pct,2021_stl_pct,2021_blk_pct,2021_tov_pct,2021_usg_pct,2021_ws-dum,2021_ows,2021_dws,2021_ws,2021_ws_per_48,2021_bpm-dum,2021_obpm,2021_dbpm,2021_bpm,2021_vorp,2020_salary,2021_salary,img_link,2021_preseason_salary,position
Luka Dončić,PG,20,DAL,61,61,33.6,9.5,20.6,.463,2.8,8.9,.316,6.7,11.7,.574,.531,7.0,9.2,.758,1.3,8.1,9.4,8.8,1.0,0.2,4.3,2.5,28.8,doncilu01,PG,21,39,39,35.2,10.1,20.9,.482,2.9,8.0,.367,7.2,13.0,.553,.552,5.5,7.3,.748,0.8,7.5,8.3,9.1,1.0,0.6,4.3,2.1,28.6,2047,27.6,.585,.431,.448,4.1,25.0,14.7,45.7,1.5,0.6,14.8,36.8,,6.5,2.3,8.8,.207,,7.4,1.0,8.4,5.4,1373,26.3,.592,.381,.350,2.5,22.8,12.9,45.9,1.4,1.7,15.0,35.9,,3.5,1.5,5.0,.175,,6.6,0.8,7.5,3.3,7683360,8049360,https://www.2kratings.com/wp-content/uploads/Luka-Doncic-2K-Rating.png,8049360,PG
Luguentz Dort,SF,20,OKC,36,28,22.8,2.4,6.1,.394,0.8,2.8,.297,1.6,3.3,.479,.463,1.2,1.5,.792,0.7,1.6,2.3,0.8,0.9,0.1,0.6,2.7,6.8,dortlu01,SG,21,40,40,29.7,4.3,11.2,.385,2.0,6.0,.325,2.4,5.2,.455,.472,2.0,2.7,.764,0.7,2.8,3.5,1.6,0.9,0.4,1.4,2.5,12.6,820,7.6,.506,.463,.243,3.3,7.5,5.5,4.6,1.8,0.4,8.4,14.1,,0.1,0.8,0.8,.049,,-4.1,0.4,-3.7,-0.4,1187,9.3,.509,.535,.236,2.4,9.9,6.2,8.1,1.4,1.0,10.3,20.3,,-0.7,1.1,0.4,.017,,-3.3,-1.0,-4.3,-0.7,155647,1517981,https://www.2kratings.com/wp-content/uploads/Luguentz-Dort-2K-Rating.png,1517981,SG
Damyean Dotson,SG,25,FA,48,0,17.4,2.5,6.0,.414,1.2,3.4,.362,1.3,2.6,.480,.516,0.5,0.7,.667,0.2,1.7,1.9,1.2,0.5,0.1,0.4,0.9,6.7,dotsoda01,SG,26,32,6,18.8,2.5,6.5,.385,0.9,3.4,.273,1.6,3.1,.510,.457,0.6,0.9,.714,0.1,1.8,1.9,2.2,0.4,0.1,0.8,0.9,6.6,836,10.9,.527,.562,.114,1.2,10.6,5.8,10.0,1.3,0.5,6.5,16.5,,0.6,0.4,0.9,.053,,-0.9,-0.5,-1.5,0.1,602,8.7,.477,.529,.135,0.7,10.6,5.6,17.0,1.1,0.6,10.2,17.6,,-0.2,0.3,0.1,.009,,-2.9,-1.3,-4.1,-0.3,1618520,2000000,https://www.2kratings.com/wp-content/uploads/Damyean-Dotson-2K-Rating.png,,SG
Sekou Doumbouya,PF,19,DET,38,19,19.8,2.4,6.2,.390,0.7,2.6,.286,1.7,3.6,.464,.449,0.8,1.2,.674,0.5,2.6,3.1,0.5,0.5,0.2,0.9,2.1,6.4,doumbse01,PF,20,38,2,13.0,1.4,4.1,.342,0.4,1.8,.246,0.9,2.3,.419,.397,0.6,0.7,.750,0.4,1.7,2.2,0.6,0.4,0.1,0.7,1.4,3.8,754,6.2,.474,.415,.195,3.0,14.9,8.9,3.6,1.3,0.9,12.0,16.9,,-0.8,0.5,-0.3,-0.020,,-5.3,-1.4,-6.7,-0.9,493,4.7,.430,.445,.181,3.8,15.1,9.3,6.8,1.4,0.4,13.0,17.0,,-0.8,0.4,-0.4,-0.038,,-6.2,-2.1,-8.4,-0.8,3285120,3449400,https://www.2kratings.com/wp-content/uploads/Sekou-Doumbouya-2K-Rating.png,3449400,PF
PJ Dozier,SG,23,FA,29,0,14.2,2.2,5.4,.414,0.6,1.7,.347,1.7,3.7,.444,.468,0.7,1.0,.724,0.3,1.6,1.9,2.2,0.5,0.2,0.9,1.6,5.8,doziepj01,SG,24,29,0,20.3,2.8,6.3,.448,1.0,2.7,.377,1.8,3.7,.500,.527,1.0,1.6,.630,0.8,2.9,3.7,1.6,0.5,0.5,0.9,1.8,7.7,412,11.6,.495,.312,.185,2.7,12.2,7.5,21.6,1.7,1.3,13.7,20.8,,0.0,0.4,0.4,.044,,-2.6,-1.3,-3.9,-0.2,588,12.3,.546,.421,.251,4.5,16.2,10.4,10.4,1.3,2.5,11.0,17.0,,0.4,0.5,1.0,.080,,-1.2,-0.7,-1.9,0.0,183115,,https://www.2kratings.com/wp-content/uploads/PJ-Dozier-2K-Rating.png,,SG
Goran Dragić,PG,33,FA,59,3,28.2,5.4,12.3,.441,2.1,5.7,.367,3.3,6.5,.505,.526,3.2,4.2,.776,0.5,2.7,3.2,5.1,0.7,0.2,2.4,2.1,16.2,dragigo01,PG,34,28,8,27.0,5.0,11.3,.441,1.6,4.6,.349,3.4,6.6,.505,.513,2.3,2.8,.844,0.3,3.0,3.3,4.9,0.6,0.2,2.7,2.3,13.9,1663,16.3,.573,.467,.340,2.0,10.2,6.3,29.2,1.2,0.6,14.8,25.9,,2.2,1.3,3.5,.102,,1.4,-1.6,-0.1,0.8,757,13.1,.556,.410,.244,1.4,11.7,6.8,29.4,1.1,0.8,17.7,25.1,,0.0,0.7,0.8,.048,,-1.3,-1.7,-3.1,-0.2,19217900,18000000,https://www.2kratings.com/wp-content/uploads/Goran-Dragic-2K-Rating.png,,PG
Andre Drummond,C,26,CLE,57,56,33.0,7.3,13.8,.533,0.1,0.6,.143,7.2,13.1,.551,.536,3.0,5.2,.575,4.4,10.8,15.2,2.7,1.9,1.6,3.6,3.5,17.7,drumman01,C,27,25,25,28.9,7.2,15.2,.474,0.0,0.3,.000,7.2,14.9,.484,.474,3.1,5.2,.597,4.0,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5,1879,22.0,.553,.045,.375,14.9,37.5,26.0,13.6,2.8,4.2,18.2,25.9,,0.6,3.6,4.2,.108,,-0.1,1.1,0.9,1.4,722,20.8,.500,.021,.339,15.2,37.3,26.0,15.9,2.7,3.6,15.6,31.0,,-0.7,1.4,0.7,.050,,-0.5,0.2,-0.3,0.3,27093019,28751775,https://www.2kratings.com/wp-content/uploads/Andre-Drummond-2K-Rating.png,28751775,C
Jared Dudley,PF,34,FA,45,1,8.1,0.5,1.3,.400,0.4,0.9,.429,0.1,0.4,.333,.550,0.0,0.0,1.000,0.1,1.0,1.2,0.6,0.3,0.1,0.2,0.9,1.5,dudleja01,PF,35,11,0,6.9,0.2,0.6,.286,0.2,0.5,.400,0.0,0.2,.000,.429,0.0,0.0,,0.4,1.4,1.7,0.5,0.1,0.1,0.2,0.6,0.5,364,7.8,.558,.700,.033,1.8,13.7,7.8,9.5,2.0,0.7,11.6,8.0,,0.3,0.5,0.8,.102,,-2.8,2.0,-0.8,0.1,76,5.5,.429,.714,.000,6.0,21.6,14.0,8.0,0.6,1.2,22.2,5.1,,0.0,0.1,0.1,.080,,-3.8,0.2,-3.6,0.0,2564753,2564753,https://www.2kratings.com/wp-content/uploads/Jared-Dudley-2K-Rating.png,,PF
Kris Dunn,PG,25,FA,51,32,24.9,3.0,6.7,.444,0.6,2.2,.259,2.4,4.5,.535,.487,0.8,1.1,.741,0.5,3.2,3.6,3.4,2.0,0.3,1.3,3.1,7.3,dunnkr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269,12.1,.510,.327,.158,1.9,14.9,8.1,19.4,3.8,1.3,15.7,14.6,,0.3,2.0,2.3,.085,,-3.7,3.1,-0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,5348007,4767000,https://www.2kratings.com/wp-content/uploads/Kris-Dunn-2K-Rating.png,,PG
Carsen Edwards,SG,21,BOS,37,0,9.5,1.1,3.5,.328,0.6,2.1,.316,0.5,1.4,.346,.422,0.4,0.5,.684,0.2,1.1,1.3,0.6,0.3,0.1,0.4,0.9,3.3,edwarca01,SG,22,16,1,10.2,2.0,4.3,.464,0.7,2.3,.306,1.3,2.1,.636,.543,0.4,0.6,.778,0.1,1.0,1.1,0.6,0.3,0.1,0.1,1.2,5.1,351,6.9,.444,.594,.148,1.9,12.4,7.2,9.3,1.7,1.1,9.9,18.4,,-0.3,0.4,0.1,.014,,-4.4,-0.2,-4.6,-0.2,163,13.9,.562,.522,.130,1.4,11.1,6.2,8.3,1.5,0.6,2.7,19.8,,0.3,0.1,0.4,.105,,-2.0,-1.2,-3.2,0.0,1228026,1517981,https://www.2kratings.com/wp-content/uploads/Carsen-Edwards-2K-Rating.png,1517981,SG
Henry Ellenson,C,23,FA,5,0,3.0,0.2,1.4,.143,0.0,0.8,.000,0.2,0.6,.333,.143,0.0,0.0,,0.4,0.8,1.2,0.2,0.0,0.0,0.0,0.2,0.4,ellenhe01,PF,24,2,0,19.0,2.5,7.0,.357,1.0,4.5,.222,1.5,2.5,.600,.429,1.5,2.0,.750,1.5,4.5,6.0,2.5,0.0,0.0,0.0,3.5,7.5,15,-1.3,.143,.571,.000,14.1,27.0,20.7,8.7,0.0,0.0,0.0,19.5,,-0.1,0.0,-0.1,-0.183,,-7.8,-3.1,-10.9,0.0,38,12.7,.476,.643,.286,8.4,27.1,17.4,19.0,0.0,0.0,0.0,17.9,,0.1,0.0,0.1,.127,,-3.1,1.0,-2.1,0.0,,50000,https://www.2kratings.com/wp-content/uploads/Henry-Ellenson-2K-Rating.png,,PF
Wayne Ellington,SG,32,NYK,36,1,15.5,1.7,4.8,.351,1.4,4.0,.350,0.3,0.9,.355,.494,0.3,0.4,.846,0.1,1.7,1.8,1.2,0.4,0.1,0.5,1.1,5.1,ellinwa01,SG,33,31,25,23.2,3.7,8.0,.458,2.7,6.4,.431,0.9,1.7,.558,.629,0.6,0.9,.741,0.3,1.5,1.8,1.5,0.4,0.2,0.7,1.5,10.7,558,8.5,.509,.822,.075,0.7,12.0,6.2,11.0,1.1,0.7,9.1,15.0,,0.2,0.2,0.4,.035,,-1.9,-0.9,-2.9,-0.1,720,13.0,.638,.791,.108,1.2,7.6,4.3,9.9,0.9,0.7,8.1,17.2,,1.1,0.4,1.4,.096,,1.7,-1.7,0.0,0.4,7804878,3005225,https://www.2kratings.com/wp-content/uploads/Wayne-Ellington-2K-Rating.png,8195122,SG
Joel Embiid,C,25,PHI,51,51,29.5,7.5,15.7,.477,1.1,3.4,.331,6.4,12.3,.517,.512,6.9,8.5,.807,2.8,8.9,11.6,3.0,0.9,1.3,3.1,3.4,23.0,embiijo01,C,26,31,31,32.6,9.5,18.0,.525,1.2,2.9,.422,8.2,15.1,.545,.559,9.8,11.4,.859,2.2,9.3,11.5,3.3,1.2,1.4,3.2,2.5,29.9,1506,25.8,.590,.215,.543,10.3,33.2,21.7,16.9,1.4,3.7,13.8,32.9,,3.3,2.7,6.0,.192,,3.7,1.0,4.7,2.5,1010,31.5,.650,.161,.634,7.5,30.2,19.3,17.4,1.7,3.7,12.2,34.2,,4.1,2.1,6.2,.296,,7.0,1.7,8.6,2.7,27504630,29542010,https://www.2kratings.com/wp-content/uploads/Joel-Embiid-2K-Rating.png,29542010,C
James Ennis,SF-SG,29,ORL,69,18,18.3,2.3,5.2,.446,0.8,2.4,.325,1.5,2.8,.553,.522,1.1,1.4,.806,1.0,2.5,3.6,0.9,0.5,0.3,0.8,2.0,6.6,ennisja01,SF,30,27,23,21.6,2.5,5.0,.493,1.0,2.2,.433,1.5,2.8,.539,.588,1.5,1.9,.784,1.1,2.9,4.0,1.3,0.8,0.2,0.9,2.1,7.4,1265,11.5,.565,.471,.273,6.1,15.3,10.6,7.0,1.3,1.5,12.6,15.7,,1.0,1.4,2.4,.090,,-2.2,-0.4,-2.6,-0.2,582,13.1,.631,.441,.375,5.2,14.4,9.7,9.0,1.8,1.0,13.2,13.6,,0.8,0.6,1.4,.117,,-1.9,0.6,-1.3,0.1,1882867,3300000,https://www.basketball-reference.com/req/202101021/images/players/ennisja01.jpg,2071978,SF
Drew Eubanks,C,22,FA,22,3,12.4,2.0,3.0,.642,0.0,0.0,1.000,1.9,3.0,.636,.649,0.9,1.2,.769,1.3,2.6,3.9,0.7,0.2,0.8,1.0,1.7,4.9,eubandr01,C,23,25,0,12.8,1.7,3.5,.477,0.0,0.0,1.000,1.6,3.5,.471,.483,1.0,1.4,.706,0.6,2.6,3.2,0.9,0.2,1.1,0.8,1.2,4.4,272,17.3,.682,.015,.388,11.1,22.6,16.8,7.7,0.9,5.5,21.1,15.8,,0.5,0.3,0.8,.134,,-1.4,-0.3,-1.7,0.0,320,13.0,.529,.011,.386,5.2,21.7,13.3,9.5,0.6,7.3,15.6,16.6,,0.0,0.5,0.5,.070,,-3.5,1.6,-1.9,0.0,,1620564,https://www.2kratings.com/wp-content/uploads/Drew-Eubanks-2K-Rating.png,,C
Jacob Evans,SG,22,MIN,29,1,14.4,1.6,4.6,.336,0.4,1.3,.333,1.1,3.3,.337,.384,0.9,1.0,.862,0.3,1.1,1.4,1.1,0.4,0.4,0.9,1.4,4.4,evansja02,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,5.5,.436,.291,.216,2.3,8.6,5.3,10.8,1.3,2.6,14.6,17.5,,-0.7,0.2,-0.5,-0.056,,-5.8,-1.3,-7.1,-0.5,,,,,,,,,,,,,,,,,,,,,,,,1925880,2017320,https://www.basketball-reference.com/req/202101021/images/players/evansja02.jpg,2017320,SG
Dante Exum,SG,24,CLE,35,1,13.9,1.6,3.4,.471,0.4,1.2,.349,1.2,2.2,.539,.534,0.9,1.2,.744,0.3,1.6,1.9,1.1,0.4,0.2,0.9,1.1,4.5,exumda01,SG,25,6,3,19.3,1.7,4.3,.385,0.3,1.8,.182,1.3,2.5,.533,.423,0.2,0.3,.500,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8,485,10.3,.576,.361,.361,2.7,12.6,7.7,11.5,1.3,1.4,18.4,15.0,,0.2,0.2,0.4,.043,,-2.5,-0.4,-2.9,-0.1,116,6.0,.428,.423,.077,1.9,14.8,8.2,15.5,1.7,1.5,20.7,12.6,,-0.1,0.1,0.0,-0.018,,-4.8,1.7,-3.1,0.0,9600000,9600000,https://www.2kratings.com/wp-content/uploads/Dante-Exum-2K-Rating.png,9600000,SG
Tacko Fall,C,24,FA,7,0,4.7,1.6,2.0,.786,0.0,0.0,,1.6,2.0,.786,.786,0.1,0.4,.333,0.1,2.0,2.1,0.1,0.1,0.6,0.4,1.0,3.3,fallta01,C,25,10,0,6.8,1.3,1.8,.722,0.0,0.0,,1.3,1.8,.722,.722,0.3,1.1,.273,0.8,1.6,2.4,0.2,0.0,1.0,0.2,1.2,2.9,33,28.4,.751,.000,.214,3.3,44.9,24.3,5.8,1.5,11.2,16.4,23.7,,0.1,0.1,0.2,.223,,0.4,6.0,6.5,0.1,68,21.7,.635,.000,.611,13.1,26.7,19.8,4.4,0.0,13.8,8.1,15.7,,0.1,0.1,0.3,.186,,-0.6,2.0,1.4,0.1,,,https://www.2kratings.com/wp-content/uploads/Tacko-Fall-2K-Rating.png,,C
Derrick Favors,C,28,FA,51,49,24.4,4.1,6.6,.617,0.0,0.1,.143,4.1,6.5,.627,.618,0.8,1.4,.563,3.2,6.6,9.8,1.6,0.6,0.9,1.1,2.1,9.0,favorde01,C,29,41,0,15.9,2.4,3.7,.649,0.0,0.0,.000,2.4,3.7,.653,.649,1.1,1.5,.758,2.1,3.3,5.4,0.9,0.6,0.9,0.6,2.3,5.9,1243,18.5,.620,.021,.209,13.9,28.9,21.4,9.2,1.1,3.1,12.9,14.0,,2.6,1.6,4.2,.162,,0.7,0.3,1.0,0.9,653,20.3,.682,.007,.411,14.4,21.4,18.0,7.6,1.7,4.6,11.4,13.2,,2.1,1.3,3.4,.246,,0.5,2.0,2.5,0.7,17650000,9258000,https://www.2kratings.com/wp-content/uploads/Derrick-Favors-2K-Rating.png,,C
Cristiano Felício,C,27,CHI,22,0,17.5,1.5,2.5,.630,0.0,0.1,.000,1.5,2.4,.654,.630,0.8,1.0,.783,2.5,2.1,4.6,0.7,0.5,0.1,0.8,1.5,3.9,feliccr01,C,28,7,0,5.7,0.4,0.6,.750,0.0,0.0,,0.4,0.6,.750,.750,0.7,1.1,.625,0.9,0.9,1.7,0.7,0.3,0.0,0.4,0.4,1.6,386,12.8,.671,.037,.426,15.0,14.1,14.6,5.7,1.2,0.5,21.9,9.1,,0.7,0.3,1.0,.126,,-1.4,-1.6,-3.0,-0.1,40,17.4,.731,.000,2.000,17.0,16.2,16.6,15.6,2.4,0.0,28.5,11.3,,0.1,0.0,0.2,.188,,1.4,1.6,3.0,0.1,8156500,7529020,https://www.2kratings.com/wp-content/uploads/Cristiano-Felicio-2K-Rating.png,7529020,C
Terrance Ferguson,SF,21,OKC,56,38,22.4,1.4,3.9,.355,0.9,3.0,.292,0.5,0.9,.558,.466,0.3,0.4,.750,0.4,0.9,1.3,0.9,0.5,0.3,0.6,2.8,3.9,fergute01,SG,22,13,0,3.8,0.1,0.5,.143,0.0,0.4,.000,0.1,0.2,.500,.143,0.0,0.0,,0.0,0.1,0.1,0.2,0.1,0.0,0.3,0.5,0.2,1257,3.7,.481,.764,.091,2.1,4.4,3.3,5.3,1.0,1.2,11.9,9.1,,-0.3,0.9,0.6,.021,,-4.8,0.3,-4.5,-0.8,49,-7.0,.143,.714,.000,0.0,2.2,1.1,4.8,1.0,0.0,36.4,9.5,,-0.2,0.0,-0.2,-0.156,,-12.1,-2.7,-14.8,-0.2,2475840,3944013,https://www.2kratings.com/wp-content/uploads/Terrance-Ferguson-2K-Rating.png,3944013,SG
Bruno Fernando,C,21,ATL,56,13,12.7,1.8,3.6,.518,0.1,0.7,.135,1.8,2.9,.605,.530,0.5,0.9,.569,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3,fernabr01,C,22,21,0,7.8,0.5,1.3,.407,0.0,0.1,.000,0.5,1.2,.440,.407,0.4,0.7,.600,0.6,2.4,3.0,0.4,0.1,0.1,0.7,0.9,1.5,713,11.9,.542,.186,.256,10.0,20.0,15.0,9.9,1.2,2.0,15.9,15.3,,0.4,0.4,0.8,.055,,-3.2,-0.9,-4.1,-0.4,163,6.2,.461,.074,.556,8.8,32.9,21.0,7.3,0.6,1.6,30.9,12.8,,-0.2,0.2,0.0,-0.010,,-5.5,-0.5,-6.1,-0.2,1400000,1517981,https://www.2kratings.com/wp-content/uploads/Bruno-Fernando-2K-Rating.png,1517981,C
Yogi Ferrell,PG,26,FA,50,0,10.6,1.6,3.8,.420,0.5,1.6,.304,1.1,2.2,.505,.484,0.7,0.8,.857,0.1,0.9,1.0,1.4,0.4,0.1,0.6,0.8,4.4,ferreyo01,PG,27,2,0,20.0,4.0,10.5,.381,1.5,4.5,.333,2.5,6.0,.417,.452,0.0,1.0,.000,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5,530,12.2,.528,.420,.223,1.2,9.4,5.2,18.8,1.6,0.7,11.9,19.2,,0.3,0.3,0.7,.060,,-1.5,-0.3,-1.8,0.0,40,12.6,.434,.429,.095,8.2,11.4,9.8,20.6,3.7,2.2,12.1,26.9,,-0.1,0.1,0.0,-0.024,,-1.9,0.4,-1.5,0.0,3150000,,https://www.basketball-reference.com/req/202101021/images/players/ferreyo01.jpg,,PG
Dorian Finney-Smith,PF,26,DAL,71,68,29.9,3.4,7.4,.466,1.6,4.3,.376,1.8,3.1,.589,.575,1.1,1.5,.722,2.0,3.7,5.7,1.6,0.6,0.5,1.0,2.5,9.5,finnedo01,PF,27,31,31,31.1,3.1,7.2,.426,1.7,4.8,.351,1.4,2.4,.573,.543,0.6,0.7,.905,1.5,3.8,5.3,1.5,0.9,0.4,0.6,2.6,8.4,2120,12.3,.595,.580,.207,7.3,12.7,10.0,7.2,1.0,1.6,10.8,12.9,,3.3,1.5,4.9,.110,,0.1,-0.3,-0.2,0.9,965,10.3,.562,.664,.094,5.4,13.0,9.3,6.2,1.4,1.2,7.6,11.6,,1.0,0.8,1.8,.087,,-1.0,-0.3,-1.3,0.2,4000000,4000000,https://www.2kratings.com/wp-content/uploads/Dorian-Finney-Smith-2K-Rating.png,4000000,PF
Bryn Forbes,SG,26,FA,63,62,25.1,3.8,9.2,.417,2.3,6.0,.388,1.5,3.2,.470,.544,1.2,1.4,.833,0.2,1.8,2.0,1.7,0.5,0.0,0.9,1.8,11.2,forbebr01,SG,27,42,6,18.8,3.4,7.3,.464,2.1,4.7,.455,1.3,2.6,.482,.610,0.5,0.7,.742,0.2,1.0,1.2,0.6,0.2,0.0,0.5,1.0,9.5,1579,11.1,.570,.656,.155,0.8,7.8,4.3,9.5,1.0,0.0,8.4,18.5,,1.3,0.3,1.5,.047,,-0.6,-2.1,-2.7,-0.3,789,11.8,.620,.643,.101,1.0,5.7,3.4,4.1,0.5,0.0,6.7,18.3,,1.1,0.4,1.5,.089,,0.4,-2.4,-2.0,0.0,2875000,2337145,https://www.2kratings.com/wp-content/uploads/Bryn-Forbes-2K-Rating.png,,SG
Evan Fournier,SF,27,ORL,66,66,31.5,6.6,14.1,.467,2.6,6.6,.399,4.0,7.5,.527,.560,2.7,3.3,.818,0.3,2.3,2.6,3.2,1.1,0.2,1.9,2.4,18.5,fournev01,SF,28,26,26,30.3,6.5,14.2,.461,2.8,7.2,.388,3.7,7.0,.536,.560,3.8,4.7,.797,0.2,2.7,2.9,3.7,1.0,0.3,2.1,2.1,19.7,2076,16.4,.595,.467,.237,0.9,8.2,4.4,16.6,1.7,0.7,10.9,23.9,,2.9,1.7,4.6,.106,,1.4,-0.4,1.0,1.6,787,18.3,.604,.509,.333,0.6,9.5,5.0,20.6,1.7,1.1,11.3,26.2,,1.3,0.6,1.9,.117,,2.1,-0.8,1.3,0.6,17000000,17000000,https://www.2kratings.com/wp-content/uploads/Evan-Fournier-2K-Rating.png,17000000,SF
De'Aaron Fox,PG,22,SAC,51,49,32.0,7.7,16.0,.480,1.1,3.6,.292,6.6,12.4,.535,.513,4.7,6.7,.705,0.7,3.2,3.8,6.8,1.5,0.5,3.1,2.8,21.1,foxde01,PG,23,44,44,34.7,8.9,18.5,.482,1.8,5.5,.335,7.1,13.0,.544,.531,4.9,7.0,.699,0.6,2.8,3.4,7.3,1.4,0.4,3.1,3.0,24.6,1634,20.6,.558,.227,.420,2.4,11.4,6.8,35.3,2.2,1.5,14.1,29.8,,2.6,1.4,4.0,.118,,2.3,-0.5,1.8,1.6,1528,20.4,.569,.297,.380,1.8,9.0,5.4,33.0,1.9,1.0,12.7,30.4,,2.8,0.3,3.0,.095,,2.8,-1.6,1.2,1.2,6392760,8099627,https://www.2kratings.com/wp-content/uploads/DeAaron-Fox-2K-Rating.png,8099627,PG
Melvin Frazier,SG,23,ORL,19,0,6.6,0.8,1.8,.441,0.4,0.8,.500,0.4,0.9,.389,.559,0.1,0.2,.500,0.1,0.4,0.5,0.2,0.5,0.1,0.3,0.6,2.1,frazime01,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,9.8,.559,.471,.118,1.7,7.1,4.3,3.4,3.5,1.4,12.3,14.0,,0.0,0.2,0.2,.057,,-3.5,1.2,-2.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,1416852,,https://www.basketball-reference.com/req/202101021/images/players/frazime01.jpg,1663861,SG
Michael Frazier,SG,25,FA,13,0,11.2,0.5,2.2,.241,0.3,1.8,.174,0.2,0.5,.500,.310,0.7,1.1,.643,0.1,0.7,0.8,0.2,0.2,0.0,0.4,1.7,2.1,frazimi01,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,-0.9,.384,.793,.483,0.7,6.6,3.6,1.7,0.6,0.0,12.5,11.5,,-0.2,0.1,-0.2,-0.060,,-8.9,-2.1,-11.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/req/202101021/images/players/frazimi01.jpg,,SG
Tim Frazier,PG,29,FA,27,11,13.1,1.3,3.5,.362,0.4,1.1,.333,0.9,2.4,.375,.415,0.7,0.9,.792,0.3,0.9,1.2,3.4,0.5,0.1,1.3,1.6,3.6,fraziti01,PG,30,3,0,11.0,0.7,2.7,.250,0.0,0.7,.000,0.7,2.0,.333,.250,0.0,0.0,,0.0,1.3,1.3,2.3,0.3,0.0,1.0,1.3,1.3,355,9.8,.464,.319,.255,2.8,7.8,5.3,36.5,1.9,0.9,25.6,17.3,,-0.1,0.2,0.1,.016,,-3.0,-1.6,-4.6,-0.2,33,0.3,.250,.250,.000,0.0,13.5,6.5,25.8,1.4,0.0,27.3,14.0,,-0.1,0.0,-0.1,-0.109,,-10.9,-2.6,-13.6,-0.1,1882867,,https://www.basketball-reference.com/req/202101021/images/players/fraziti01.jpg,,PG
Markelle Fultz,PG,21,ORL,72,60,27.7,5.0,10.7,.465,0.5,1.9,.267,4.5,8.8,.507,.488,1.6,2.2,.730,0.6,2.7,3.3,5.1,1.3,0.2,2.0,2.0,12.1,fultzma01,PG,22,8,8,26.9,5.1,13.0,.394,0.5,2.0,.250,4.6,11.0,.420,.413,2.1,2.4,.895,0.6,2.5,3.1,5.4,1.0,0.3,2.3,2.3,12.9,1996,14.3,.517,.175,.206,2.1,11.0,6.4,29.0,2.2,0.5,14.9,21.4,,0.6,2.0,2.7,.065,,-1.8,0.0,-1.8,0.1,215,12.0,.458,.154,.183,2.4,10.0,6.1,32.7,1.8,0.9,13.8,26.2,,-0.2,0.2,0.0,-0.010,,-2.9,-1.7,-4.6,-0.1,9745200,12288697,https://www.2kratings.com/wp-content/uploads/Markelle-Fultz-2K-Rating.png,12288697,PG
