player,2020_pos,2020_age,team_id,2020_g,2020_gs,2020_mp_per_g,2020_fg_per_g,2020_fga_per_g,2020_fg_pct,2020_fg3_per_g,2020_fg3a_per_g,2020_fg3_pct,2020_fg2_per_g,2020_fg2a_per_g,2020_fg2_pct,2020_efg_pct,2020_ft_per_g,2020_fta_per_g,2020_ft_pct,2020_orb_per_g,2020_drb_per_g,2020_trb_per_g,2020_ast_per_g,2020_stl_per_g,2020_blk_per_g,2020_tov_per_g,2020_pf_per_g,2020_pts_per_g,player_id,2021_pos,2021_age,2021_g,2021_gs,2021_mp_per_g,2021_fg_per_g,2021_fga_per_g,2021_fg_pct,2021_fg3_per_g,2021_fg3a_per_g,2021_fg3_pct,2021_fg2_per_g,2021_fg2a_per_g,2021_fg2_pct,2021_efg_pct,2021_ft_per_g,2021_fta_per_g,2021_ft_pct,2021_orb_per_g,2021_drb_per_g,2021_trb_per_g,2021_ast_per_g,2021_stl_per_g,2021_blk_per_g,2021_tov_per_g,2021_pf_per_g,2021_pts_per_g,2020_mp,2020_per,2020_ts_pct,2020_fg3a_per_fga_pct,2020_fta_per_fga_pct,2020_orb_pct,2020_drb_pct,2020_trb_pct,2020_ast_pct,2020_stl_pct,2020_blk_pct,2020_tov_pct,2020_usg_pct,2020_ws-dum,2020_ows,2020_dws,2020_ws,2020_ws_per_48,2020_bpm-dum,2020_obpm,2020_dbpm,2020_bpm,2020_vorp,2021_mp,2021_per,2021_ts_pct,2021_fg3a_per_fga_pct,2021_fta_per_fga_pct,2021_orb_pct,2021_drb_pct,2021_trb_pct,2021_ast_pct,2021_stl_pct,2021_blk_pct,2021_tov_pct,2021_usg_pct,2021_ws-dum,2021_ows,2021_dws,2021_ws,2021_ws_per_48,2021_bpm-dum,2021_obpm,2021_dbpm,2021_bpm,2021_vorp,2020_salary,2021_salary,img_link,2021_preseason_salary,position
Mo Bamba,C,21,ORL,62,0,14.2,2.1,4.6,.462,0.6,1.7,.346,1.5,2.9,.531,.526,0.5,0.7,.674,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4,bambamo01,C,22,22,0,10.2,1.9,4.0,.477,0.4,1.5,.281,1.5,2.5,.589,.528,0.4,0.6,.571,1.0,2.9,3.9,0.3,0.1,0.9,0.4,1.4,4.6,878,17.5,.542,.374,.161,11.9,25.6,18.5,7.2,1.3,8.8,12.1,17.1,,0.8,1.7,2.5,.135,,-1.2,1.6,0.4,0.5,224,17.4,.536,.364,.159,10.4,30.2,20.0,4.4,0.7,8.3,8.7,19.9,,0.1,0.4,0.5,.109,,-1.2,0.2,-1.0,0.1,5697600,5969040,https://www.2kratings.com/wp-content/uploads/Mo-Bamba-2K-Rating.png,5969040,C
J.J. Barea,PG,35,FA,29,6,15.5,2.9,7.1,.411,1.1,2.9,.376,1.8,4.2,.434,.488,0.7,0.8,.909,0.3,1.5,1.8,3.9,0.2,0.1,1.3,0.9,7.7,bareajo01,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,14.6,.512,.411,.106,2.4,9.9,6.2,37.1,0.5,0.4,14.9,24.2,,0.5,0.2,0.7,.072,,1.6,-3.0,-1.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,2564753,2564753,https://www.basketball-reference.com/req/202101021/images/players/bareajo01.jpg,,PG
Harrison Barnes,PF,27,SAC,72,72,34.5,5.1,11.0,.460,1.4,3.7,.381,3.7,7.3,.501,.525,3.0,3.7,.801,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3,14.5,barneha02,PF,28,42,42,36.0,5.3,11.0,.484,1.5,4.2,.354,3.9,6.9,.563,.551,3.6,4.3,.830,1.1,5.5,6.5,3.7,0.7,0.2,1.4,1.3,15.7,2482,13.3,.574,.338,.337,3.4,12.9,8.1,9.2,0.8,0.5,8.8,17.4,,3.4,1.1,4.6,.088,,0.0,-1.3,-1.3,0.5,1512,15.4,.609,.378,.393,3.3,17.1,10.0,13.7,1.0,0.4,9.9,17.0,,3.0,0.1,3.2,.101,,1.3,-1.5,-0.3,0.7,24147727,22215909,https://www.2kratings.com/wp-content/uploads/Harrison-Barnes-2K-Rating.png,22215909,PF
RJ Barrett,SG,19,NYK,56,55,30.4,5.2,13.0,.402,1.1,3.5,.320,4.1,9.5,.432,.445,2.8,4.5,.614,0.9,4.1,5.0,2.6,1.0,0.3,2.2,2.2,14.3,barrerj01,SG,20,45,45,34.0,6.6,14.8,.448,1.2,3.4,.344,5.5,11.4,.479,.487,3.1,4.2,.732,1.2,5.0,6.2,3.0,0.7,0.2,1.9,2.6,17.5,1704,10.7,.479,.271,.349,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,,-1.6,1.1,-0.5,-0.015,,-2.9,-1.5,-4.3,-1.0,1530,14.1,.526,.227,.286,3.7,15.8,9.7,14.6,1.1,0.7,10.4,24.0,,0.6,1.8,2.4,.076,,-1.1,-0.4,-1.5,0.2,7839960,8231760,https://www.2kratings.com/wp-content/uploads/RJ-Barrett-2K-Rating.png,8231760,SG
Will Barton,SF,29,DEN,58,58,33.0,5.7,12.7,.450,1.9,5.0,.375,3.9,7.8,.498,.523,1.8,2.3,.767,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1,15.1,bartowi01,SF,30,41,37,30.8,4.8,11.0,.435,1.8,4.7,.377,3.0,6.4,.477,.514,1.3,1.7,.746,0.7,3.4,4.1,3.1,0.9,0.4,1.7,1.7,12.7,1916,15.6,.549,.390,.180,4.5,16.9,10.7,16.0,1.6,1.4,9.9,20.1,,2.4,1.8,4.2,.106,,1.2,-0.2,1.1,1.5,1261,11.9,.536,.422,.157,2.5,12.4,7.5,13.6,1.4,1.4,12.3,19.1,,0.5,0.9,1.4,.055,,-0.8,-1.4,-2.2,-0.1,12960000,13920000,https://www.2kratings.com/wp-content/uploads/Will-Barton-2K-Rating.png,13920000,SF
Keita Bates-Diop,PF-SF,24,DEN,44,0,16.9,2.3,5.3,.427,0.8,2.3,.330,1.5,3.0,.504,.500,1.2,1.7,.720,0.6,2.3,2.9,0.7,0.4,0.5,0.4,1.0,6.5,bateske01,SF,25,16,0,7.4,0.7,2.0,.344,0.3,0.9,.333,0.4,1.1,.353,.422,0.4,0.6,.700,0.3,0.9,1.3,0.4,0.4,0.1,0.1,0.3,2.1,744,12.4,.539,.440,.321,3.5,15.1,9.1,5.8,1.2,2.7,6.0,15.8,,0.6,0.6,1.2,.078,,-1.0,-0.4,-1.4,0.1,118,10.9,.467,.469,.313,4.4,13.6,8.9,7.8,2.5,0.7,2.7,13.8,,0.0,0.1,0.2,.076,,-2.6,0.5,-2.0,0.0,1416852,,https://www.2kratings.com/wp-content/uploads/Keita-Bates-Diop-2K-Rating.png,1663861,SF
Nicolas Batum,SF,31,CHO,22,3,23.0,1.3,3.7,.346,0.6,2.2,.286,0.6,1.5,.438,.432,0.4,0.5,.900,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6,batumni01,SF,32,43,37,28.6,3.0,6.3,.465,1.9,4.3,.430,1.1,2.0,.540,.612,0.9,1.1,.848,0.8,3.9,4.7,2.3,1.2,0.3,0.7,1.7,8.7,505,9.2,.463,.605,.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,,0.2,0.4,0.6,.055,,-2.8,0.9,-1.9,0.0,1229,13.4,.636,.681,.168,3.2,15.1,9.3,10.5,2.0,1.1,9.6,11.7,,2.2,1.4,3.6,.141,,0.7,0.6,1.3,1.0,25565217,11608231,https://www.2kratings.com/wp-content/uploads/Nicolas-Batum-2K-Rating.png,27130434,SF
Aron Baynes,C,33,FA,42,28,22.2,4.4,9.1,.480,1.4,4.0,.351,3.0,5.1,.582,.558,1.3,1.8,.747,1.7,4.0,5.6,1.6,0.2,0.5,1.2,3.4,11.5,baynear01,C,34,41,29,18.7,2.5,5.8,.424,0.5,2.0,.250,2.0,3.9,.513,.466,0.6,0.8,.719,1.7,3.6,5.3,0.9,0.3,0.4,0.9,2.3,6.0,934,15.2,.581,.441,.197,8.3,20.0,14.1,10.9,0.5,2.1,10.8,21.1,,1.3,0.8,2.1,.107,,-0.2,-0.8,-1.0,0.2,766,9.7,.486,.336,.134,9.7,22.3,15.7,7.0,0.8,2.1,12.5,16.2,,-0.1,0.7,0.6,.038,,-3.7,-1.4,-5.2,-0.6,5453280,6975610,https://www.2kratings.com/wp-content/uploads/Aron-Baynes-2K-Rating.png,,C
Kent Bazemore,SF,30,FA,68,21,24.8,2.9,7.9,.375,1.2,3.6,.344,1.7,4.3,.400,.453,1.7,2.2,.769,0.4,3.9,4.3,1.4,1.1,0.6,1.3,2.9,8.8,bazemke01,SF,31,43,1,16.4,2.2,4.9,.443,1.0,2.4,.390,1.2,2.4,.495,.540,0.7,1.0,.682,0.3,2.5,2.9,1.6,0.8,0.5,1.1,2.1,6.0,1688,9.3,.499,.457,.275,1.7,17.1,9.4,7.4,2.1,2.1,13.2,17.5,,-0.9,1.5,0.6,.017,,-3.4,0.3,-3.1,-0.5,707,10.8,.560,.500,.210,2.2,16.0,9.2,13.4,2.2,2.8,17.0,16.6,,-0.2,1.1,0.9,.062,,-2.7,1.4,-1.3,0.1,19269662,2320044,https://www.2kratings.com/wp-content/uploads/Kent-Bazemore-2K-Rating.png,,SF
Darius Bazley,PF,19,OKC,61,9,18.5,2.0,5.2,.394,0.8,2.3,.348,1.2,2.9,.432,.472,0.7,1.0,.694,0.5,3.5,4.0,0.7,0.4,0.7,0.7,0.9,5.6,bazleda01,PF,20,36,36,30.7,4.4,11.2,.392,1.5,5.2,.290,2.9,6.0,.479,.459,1.6,2.3,.704,0.6,6.9,7.5,1.5,0.5,0.6,1.8,0.9,11.9,1130,9.6,.497,.445,.196,3.0,20.5,12.0,5.1,1.0,3.1,11.6,15.1,,-0.5,1.5,1.0,.041,,-2.1,0.5,-1.6,0.1,1104,9.3,.487,.462,.201,2.1,23.5,12.8,7.3,0.8,1.8,12.6,19.8,,-1.5,1.3,-0.2,-0.007,,-3.2,-0.9,-4.1,-0.6,2284800,2399160,https://www.2kratings.com/wp-content/uploads/Darius-Bazley-2K-Rating.png,2399160,PF
