player,2020_pos,2020_age,team_id,2020_g,2020_gs,2020_mp_per_g,2020_fg_per_g,2020_fga_per_g,2020_fg_pct,2020_fg3_per_g,2020_fg3a_per_g,2020_fg3_pct,2020_fg2_per_g,2020_fg2a_per_g,2020_fg2_pct,2020_efg_pct,2020_ft_per_g,2020_fta_per_g,2020_ft_pct,2020_orb_per_g,2020_drb_per_g,2020_trb_per_g,2020_ast_per_g,2020_stl_per_g,2020_blk_per_g,2020_tov_per_g,2020_pf_per_g,2020_pts_per_g,player_id,2021_pos,2021_age,2021_g,2021_gs,2021_mp_per_g,2021_fg_per_g,2021_fga_per_g,2021_fg_pct,2021_fg3_per_g,2021_fg3a_per_g,2021_fg3_pct,2021_fg2_per_g,2021_fg2a_per_g,2021_fg2_pct,2021_efg_pct,2021_ft_per_g,2021_fta_per_g,2021_ft_pct,2021_orb_per_g,2021_drb_per_g,2021_trb_per_g,2021_ast_per_g,2021_stl_per_g,2021_blk_per_g,2021_tov_per_g,2021_pf_per_g,2021_pts_per_g,2020_mp,2020_per,2020_ts_pct,2020_fg3a_per_fga_pct,2020_fta_per_fga_pct,2020_orb_pct,2020_drb_pct,2020_trb_pct,2020_ast_pct,2020_stl_pct,2020_blk_pct,2020_tov_pct,2020_usg_pct,2020_ws-dum,2020_ows,2020_dws,2020_ws,2020_ws_per_48,2020_bpm-dum,2020_obpm,2020_dbpm,2020_bpm,2020_vorp,2021_mp,2021_per,2021_ts_pct,2021_fg3a_per_fga_pct,2021_fta_per_fga_pct,2021_orb_pct,2021_drb_pct,2021_trb_pct,2021_ast_pct,2021_stl_pct,2021_blk_pct,2021_tov_pct,2021_usg_pct,2021_ws-dum,2021_ows,2021_dws,2021_ws,2021_ws_per_48,2021_bpm-dum,2021_obpm,2021_dbpm,2021_bpm,2021_vorp,2020_salary,2021_salary,img_link
Steven Adams,C,26,NOP,63,63,26.7,4.5,7.6,.592,0.0,0.0,.333,4.5,7.5,.594,.593,1.9,3.2,.582,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9,adamsst01,C,27,37,37,27.4,3.5,5.6,.627,0.0,0.1,.000,3.5,5.6,.633,.627,1.1,2.3,.459,4.0,5.1,9.1,2.0,0.9,0.5,1.5,1.9,8.1,1680,20.5,.604,.006,.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,,3.8,2.7,6.5,.185,,1.9,1.1,2.9,2.1,1012,16.3,.611,.010,.407,16.3,20.7,18.5,9.7,1.6,2.0,18.8,12.7,,1.7,0.7,2.5,.116,,0.3,-0.9,-0.6,0.4,25842697,27528090,https://www.2kratings.com/wp-content/uploads/Steven-Adams-2K-Rating.png
Bam Adebayo,PF,22,MIA,72,72,33.6,6.1,11.0,.557,0.0,0.2,.143,6.1,10.8,.564,.558,3.7,5.3,.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9,adebaba01,C,23,34,34,33.8,7.1,12.7,.559,0.1,0.2,.333,7.1,12.6,.562,.561,4.8,5.6,.844,2.3,7.1,9.5,5.4,0.9,1.1,2.9,2.4,19.1,2417,20.3,.598,.018,.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,,4.6,3.9,8.5,.168,,1.4,2.0,3.4,3.3,1149,22.0,.626,.014,.443,8.1,22.5,15.7,27.6,1.2,3.3,16.2,24.1,,2.8,1.9,4.6,.194,,2.6,1.7,4.3,1.8,3454080,5115492,https://www.2kratings.com/wp-content/uploads/Bam-Adebayo-2K-Rating.png
LaMarcus Aldridge,C,34,SAS,53,53,33.1,7.4,15.0,.493,1.2,3.0,.389,6.2,12.0,.519,.532,3.0,3.6,.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,aldrila01,C,35,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7,1754,19.7,.571,.198,.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,,3.0,1.4,4.5,.122,,1.8,-0.5,1.4,1.5,544,15.0,.545,.302,.149,3.2,15.1,9.1,10.2,0.7,2.9,7.0,22.7,,0.3,0.6,0.9,.075,,-0.2,-1.0,-1.2,0.1,26000000,24000000,https://www.2kratings.com/wp-content/uploads/LaMarcus-Aldridge-2K-Rating.png
Kyle Alexander,C,23,MIA,2,0,6.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0,alexaky01,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4.7,.500,.000,.000,17.9,8.3,12.9,0.0,0.0,0.0,33.3,10.2,,0.0,0.0,0.0,-0.003,,-6.1,-3.5,-9.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/req/202101021/images/players/alexaky01.jpg
Nickeil Alexander-Walker,SG,21,NOP,47,1,12.6,2.1,5.7,.368,1.0,2.8,.346,1.1,2.8,.391,.455,0.5,0.8,.676,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2,5.7,alexani01,SG,22,32,3,17.9,3.3,7.8,.416,1.2,3.6,.328,2.1,4.2,.493,.492,1.0,1.2,.816,0.2,2.4,2.6,1.9,0.9,0.3,1.3,1.6,8.7,591,8.9,.473,.500,.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,,-0.7,0.4,-0.2,-0.020,,-3.2,-1.4,-4.6,-0.4,573,12.6,.519,.464,.152,1.2,15.2,8.2,14.9,2.5,1.9,13.0,22.7,,-0.1,0.5,0.4,.032,,-1.9,0.1,-1.8,0.0,2964840,3113160,https://www.2kratings.com/wp-content/uploads/Nickeil-Alexander-Walker-2K-Rating.png
Grayson Allen,SG,24,MEM,38,0,18.9,3.1,6.6,.466,1.5,3.7,.404,1.6,2.9,.545,.580,1.0,1.2,.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7,allengr01,SG,25,24,12,23.9,3.0,7.2,.413,2.0,4.9,.407,1.0,2.3,.426,.552,1.6,1.8,.907,0.3,2.5,2.8,2.3,1.0,0.1,1.0,1.3,9.5,718,12.0,.609,.562,.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,,0.8,0.4,1.2,.082,,-0.1,-1.2,-1.3,0.1,574,13.0,.600,.686,.250,1.5,11.6,6.3,12.3,2.1,0.5,10.8,15.7,,0.7,0.6,1.3,.113,,-0.2,0.5,0.3,0.3,2429400,2545320,https://www.2kratings.com/wp-content/uploads/Grayson-Allen-2K-Rating.png
Jarrett Allen,C,21,TOT,70,64,26.5,4.3,6.6,.649,0.0,0.1,.000,4.3,6.6,.658,.649,2.4,3.9,.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1,allenja01,C,22,38,20,28.0,4.7,7.2,.655,0.1,0.2,.444,4.6,7.0,.662,.662,3.4,4.7,.717,3.1,6.7,9.8,1.7,0.4,1.7,1.4,1.6,13.0,1852,20.7,.664,.013,.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,,5.2,2.9,8.2,.212,,1.4,1.0,2.3,2.0,1065,22.7,.696,.033,.655,12.5,27.0,19.7,9.1,0.8,5.4,13.4,16.7,,3.3,1.3,4.6,.208,,2.6,0.2,2.8,1.3,2376840,3909902,https://www.2kratings.com/wp-content/uploads/Jarrett-Allen-2K-Rating.png
Kadeem Allen,PG,27,NYK,10,0,11.7,1.9,4.4,.432,0.5,1.6,.313,1.4,2.8,.500,.489,0.7,1.1,.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0,allenka01,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,14.0,.512,.364,.250,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,.053,,-0.1,-0.6,-0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/req/202101021/images/players/allenka01.jpg
Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,aminual01,PF,30,12,9,19.5,1.6,4.6,.345,0.5,1.7,.300,1.1,2.9,.371,.400,0.8,0.9,.818,1.1,3.3,4.4,1.4,1.0,0.4,1.3,1.3,4.4,380,7.6,.395,.419,.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,,-0.4,0.5,0.1,.014,,-4.4,1.4,-3.0,-0.1,234,8.2,.443,.364,.200,5.6,18.3,11.8,10.1,2.5,2.0,21.1,13.9,,-0.3,0.3,0.0,.004,,-5.3,0.4,-5.0,-0.2,9258000,9720900,https://www.2kratings.com/wp-content/uploads/Al-Farouq-Aminu-2K-Rating.png
Justin Anderson,SG,26,BRK,10,1,10.7,1.0,3.8,.263,0.6,2.9,.207,0.4,0.9,.444,.342,0.2,0.4,.500,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2.8,anderju01,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,3.2,.352,.763,.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,,-0.2,0.1,-0.1,-0.054,,-6.8,-0.9,-7.7,-0.2,,,,,,,,,,,,,,,,,,,,,,,,98144,125000,https://www.2kratings.com/wp-content/uploads/Justin-Anderson-2K-Rating.png
Kyle Anderson,SF,26,MEM,67,28,19.9,2.3,4.9,.474,0.4,1.3,.282,2.0,3.7,.541,.511,0.8,1.2,.667,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7,5.8,anderky01,PF,27,34,34,27.1,4.8,10.0,.476,1.4,3.9,.366,3.4,6.1,.545,.547,2.0,2.6,.761,0.9,5.0,5.9,3.4,1.1,0.6,1.4,1.7,12.9,1330,12.5,.534,.257,.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,,0.9,1.7,2.5,.091,,-1.5,2.0,0.5,0.9,922,17.1,.580,.385,.259,3.3,20.9,11.8,17.4,2.0,2.2,11.0,19.5,,1.3,1.3,2.5,.133,,1.3,1.1,2.4,1.0,9073050,9505100,https://www.2kratings.com/wp-content/uploads/Kyle-Anderson-2K-Rating.png
Ryan Anderson,C,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5,anderry01,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,9.4,.357,.714,.000,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,,0.0,0.0,0.0,-0.037,,-3.3,0.5,-2.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,500000,5214583,https://www.basketball-reference.com/req/202101021/images/players/anderry01.jpg
Giannis Antetokounmpo,PF,25,MIL,63,63,30.4,10.9,19.7,.553,1.4,4.7,.304,9.5,15.0,.631,.589,6.3,10.0,.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,antetgi01,PF,26,38,38,33.9,10.5,18.7,.563,1.1,3.8,.299,9.4,14.9,.630,.593,6.8,10.1,.677,1.9,9.8,11.7,6.2,1.3,1.4,3.6,3.0,29.0,1917,31.9,.613,.237,.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,,6.1,5.0,11.1,.279,,7.4,4.1,11.5,6.6,1290,29.6,.627,.203,.540,6.0,29.5,18.1,29.6,1.8,3.6,13.6,33.1,,4.4,2.3,6.7,.250,,6.2,2.6,8.8,3.5,25842697,27528090,https://www.2kratings.com/wp-content/uploads/Giannis-Antetokounmpo-2K-Rating.png
Kostas Antetokounmpo,PF,22,LAL,5,0,4.0,0.6,0.6,1.000,0.0,0.0,,0.6,0.6,1.000,1.000,0.2,0.4,.500,0.4,0.2,0.6,0.4,0.0,0.0,0.2,0.4,1.4,antetko01,PF,23,3,0,6.3,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.3,0.7,.500,0.7,2.0,2.7,0.0,0.3,0.7,1.7,1.0,1.0,20,16.3,.902,.000,.667,11.1,5.4,8.2,13.7,0.0,0.0,20.5,10.3,,0.1,0.0,0.1,.193,,0.2,-0.9,-0.7,0.0,19,-0.2,.387,.000,.667,12.2,34.6,23.7,0.0,2.6,9.3,56.3,20.3,,-0.1,0.1,-0.1,-0.201,,-13.8,1.5,-12.3,0.0,,,https://www.2kratings.com/wp-content/uploads/Kostas-Antetokounmpo-2K-Rating.png
Thanasis Antetokounmpo,SF,27,MIL,20,2,6.5,1.2,2.4,.500,0.0,0.5,.000,1.2,1.9,.632,.500,0.4,0.9,.412,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2.8,antetth01,SF,28,28,0,8.6,1.0,1.7,.596,0.1,0.3,.222,0.9,1.4,.684,.617,0.2,0.5,.462,1.0,1.1,2.0,0.6,0.3,0.2,0.7,1.2,2.3,129,12.2,.496,.208,.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,,-0.1,0.2,0.2,.070,,-4.6,1.4,-3.2,0.0,241,11.1,.607,.191,.277,12.1,12.7,12.4,9.2,1.6,2.2,26.5,12.5,,0.2,0.3,0.4,.088,,-2.8,-0.3,-3.0,-0.1,1445697,1701593,https://www.2kratings.com/wp-content/uploads/Thanasis-Antetokounmpo-2K-Rating.png
Carmelo Anthony,PF,35,POR,58,58,32.8,5.8,13.5,.430,1.5,3.9,.385,4.3,9.6,.448,.485,2.3,2.8,.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4,anthoca01,PF,36,38,3,25.9,4.9,11.9,.415,1.8,4.6,.381,3.2,7.3,.437,.489,2.4,2.8,.858,0.6,2.8,3.4,1.8,0.9,0.8,1.1,2.2,14.1,1902,12.4,.525,.289,.206,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,,0.4,0.9,1.3,.033,,-1.8,-1.8,-3.6,-0.8,984,15.2,.534,.389,.234,2.4,11.8,7.0,10.4,1.7,2.7,7.6,23.7,,0.8,0.5,1.3,.063,,-0.3,-1.3,-1.7,0.1,2159029,2564753,https://www.2kratings.com/wp-content/uploads/Carmelo-Anthony-2K-Rating.png
OG Anunoby,SF,22,TOR,69,68,29.9,4.1,8.2,.505,1.3,3.3,.390,2.9,4.9,.583,.584,1.0,1.5,.706,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4,10.6,anunoog01,SF,23,23,23,33.4,5.0,10.3,.479,2.1,5.4,.395,2.8,5.0,.570,.582,1.7,2.3,.755,1.4,4.3,5.7,1.7,1.6,0.7,1.7,2.8,13.8,2066,13.2,.600,.403,.180,4.2,14.2,9.3,7.5,2.2,2.1,11.5,14.3,,2.1,3.7,5.7,.134,,-0.8,1.9,1.2,1.7,769,13.7,.607,.521,.223,4.6,14.7,9.5,7.3,2.3,2.3,12.7,16.8,,0.7,0.9,1.5,.096,,-0.3,0.5,0.2,0.4,2281800,3872215,https://www.2kratings.com/wp-content/uploads/OG-Anunoby-2K-Rating.png
Ryan Arcidiacono,PG,25,CHI,58,4,16.0,1.6,3.8,.409,0.9,2.4,.391,0.6,1.4,.439,.532,0.5,0.7,.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5,arcidry01,PG,26,21,0,11.0,1.1,2.9,.383,0.5,1.8,.297,0.6,1.1,.522,.475,0.4,0.4,.889,0.1,1.6,1.8,1.2,0.2,0.0,0.2,1.0,3.1,930,9.0,.551,.627,.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,,0.7,0.7,1.4,.071,,-2.7,-0.1,-2.8,-0.2,230,8.9,.508,.617,.150,1.5,16.1,8.9,13.8,1.0,0.0,7.3,12.8,,0.2,0.2,0.4,.075,,-3.3,-0.4,-3.7,-0.1,3000000,3000000,https://www.2kratings.com/wp-content/uploads/Ryan-Arcidiacono-2K-Rating.png
Trevor Ariza,SF,34,TOT,53,21,28.2,2.7,6.1,.438,1.5,3.9,.372,1.2,2.2,.556,.557,1.2,1.4,.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0,arizatr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493,11.0,.593,.639,.228,2.5,15.7,9.0,8.0,2.2,0.9,13.6,11.8,,1.3,1.2,2.5,.081,,-1.4,0.9,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,12200000,12800000,https://www.2kratings.com/wp-content/uploads/Trevor-Ariza-2K-Rating.png
D.J. Augustin,PG,32,MIL,57,13,24.9,3.2,8.1,.399,1.2,3.5,.348,2.0,4.6,.438,.475,2.8,3.2,.890,0.4,1.8,2.1,4.6,0.6,0.0,1.5,1.3,10.5,augusdj01,PG,33,37,6,19.3,1.9,5.2,.370,1.3,3.5,.380,0.6,1.7,.349,.497,1.0,1.1,.900,0.3,1.1,1.4,3.0,0.5,0.0,0.9,0.9,6.1,1420,14.0,.554,.436,.393,1.6,7.8,4.6,26.8,1.2,0.1,13.7,19.1,,2.0,0.9,2.9,.098,,-0.3,-1.3,-1.6,0.2,713,10.3,.542,.672,.208,1.7,5.6,3.7,18.6,1.3,0.1,14.0,14.3,,0.8,0.5,1.2,.083,,-1.0,-1.1,-2.1,0.0,7250000,6666667,https://www.basketball-reference.com/req/202101021/images/players/augusdj01.jpg
Deandre Ayton,C,21,PHO,38,32,32.5,8.2,14.9,.546,0.1,0.3,.231,8.1,14.6,.553,.548,1.8,2.3,.753,3.9,7.6,11.5,1.9,0.7,1.5,2.1,3.1,18.2,aytonde01,C,22,38,38,30.7,6.2,10.4,.599,0.1,0.4,.235,6.1,9.9,.615,.604,1.8,2.5,.729,3.3,7.8,11.2,1.6,0.4,1.1,1.7,3.1,14.4,1236,20.0,.568,.023,.157,13.0,26.3,19.6,9.7,1.0,4.1,11.6,23.7,,1.5,1.6,3.1,.121,,0.8,-0.4,0.4,0.7,1168,19.1,.626,.043,.244,12.6,27.8,20.4,7.6,0.6,3.3,13.1,19.2,,2.3,1.9,4.2,.174,,-0.1,-0.1,-0.1,0.5,9562920,10018200,https://www.2kratings.com/wp-content/uploads/Deandre-Ayton-2K-Rating.png
Dwayne Bacon,SG,24,ORL,39,11,17.6,2.2,6.3,.348,0.5,1.7,.284,1.7,4.5,.373,.387,0.9,1.4,.660,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7,bacondw01,SG,25,39,26,25.2,3.8,9.5,.404,1.1,3.1,.339,2.8,6.4,.435,.459,1.8,2.1,.852,0.3,2.6,2.9,1.1,0.6,0.1,0.7,1.6,10.5,687,6.1,.419,.275,.217,2.3,14.0,7.9,11.7,1.7,0.3,12.2,19.5,,-1.2,0.4,-0.8,-0.053,,-5.9,-0.9,-6.8,-0.8,983,9.2,.504,.328,.220,1.2,11.1,6.0,6.6,1.1,0.3,6.7,19.0,,-0.2,0.7,0.5,.024,,-3.5,-1.4,-4.9,-0.7,1618520,1678854,https://www.2kratings.com/wp-content/uploads/Dwayne-Bacon-2K-Rating.png
Marvin Bagley III,C,20,SAC,13,6,25.7,6.0,12.8,.467,0.3,1.7,.182,5.7,11.2,.510,.479,1.9,2.4,.806,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2,baglema01,PF,21,37,37,25.7,5.6,11.2,.502,0.9,2.6,.354,4.7,8.6,.547,.543,1.6,2.9,.560,2.5,5.0,7.4,0.9,0.5,0.5,1.3,2.4,13.9,334,15.6,.512,.132,.186,9.5,23.5,16.3,4.9,0.9,3.4,9.1,25.8,,0.0,0.3,0.4,.051,,-2.2,-1.3,-3.5,-0.1,951,16.2,.553,.231,.262,10.3,21.8,15.9,5.5,0.9,1.7,9.6,22.9,,0.8,0.2,1.1,.053,,-0.6,-2.9,-3.5,-0.4,8556120,8963640,https://www.2kratings.com/wp-content/uploads/Marvin-Bagley-III-2K-Rating.png
Lonzo Ball,PG,22,NOP,63,54,32.1,4.4,10.9,.403,2.3,6.3,.375,2.0,4.6,.442,.511,0.7,1.2,.566,1.1,5.0,6.1,7.0,1.4,0.6,3.1,2.0,11.8,balllo01,PG,23,37,37,31.5,5.1,12.1,.426,3.0,7.7,.389,2.1,4.4,.491,.550,0.9,1.2,.767,0.6,3.6,4.2,5.5,1.3,0.5,2.0,2.0,14.2,2025,13.1,.517,.575,.111,3.7,16.4,10.0,29.1,2.0,1.6,21.1,18.5,,0.4,2.0,2.4,.058,,0.1,0.6,0.6,1.3,1167,15.2,.564,.639,.096,2.1,12.6,7.4,23.7,2.0,1.7,13.7,19.6,,1.5,0.7,2.2,.091,,1.4,-0.3,1.2,0.9,8719320,11003782,https://www.2kratings.com/wp-content/uploads/Lonzo-Ball-2K-Rating.png
Mo Bamba,C,21,ORL,62,0,14.2,2.1,4.6,.462,0.6,1.7,.346,1.5,2.9,.531,.526,0.5,0.7,.674,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4,bambamo01,C,22,20,0,10.2,2.0,4.0,.488,0.4,1.4,.286,1.6,2.6,.596,.538,0.4,0.7,.571,1.1,3.0,4.1,0.3,0.2,0.9,0.4,1.4,4.7,878,17.5,.542,.374,.161,11.9,25.6,18.5,7.2,1.3,8.8,12.1,17.1,,0.8,1.7,2.5,.135,,-1.2,1.6,0.4,0.5,203,18.3,.545,.350,.175,10.9,31.2,20.7,4.0,0.7,8.3,8.5,19.9,,0.2,0.4,0.5,.121,,-0.7,0.2,-0.5,0.1,5697600,5969040,https://www.2kratings.com/wp-content/uploads/Mo-Bamba-2K-Rating.png
J.J. Barea,PG,35,DAL,29,6,15.5,2.9,7.1,.411,1.1,2.9,.376,1.8,4.2,.434,.488,0.7,0.8,.909,0.3,1.5,1.8,3.9,0.2,0.1,1.3,0.9,7.7,bareajo01,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,14.6,.512,.411,.106,2.4,9.9,6.2,37.1,0.5,0.4,14.9,24.2,,0.5,0.2,0.7,.072,,1.6,-3.0,-1.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,2564753,2564753,https://www.basketball-reference.com/req/202101021/images/players/bareajo01.jpg
Harrison Barnes,PF,27,SAC,72,72,34.5,5.1,11.0,.460,1.4,3.7,.381,3.7,7.3,.501,.525,3.0,3.7,.801,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3,14.5,barneha02,PF,28,36,36,35.7,5.6,11.3,.494,1.6,4.3,.370,4.0,7.0,.569,.564,3.8,4.6,.825,1.0,5.2,6.2,3.5,0.8,0.2,1.5,1.4,16.6,2482,13.3,.574,.338,.337,3.4,12.9,8.1,9.2,0.8,0.5,8.8,17.4,,3.4,1.1,4.6,.088,,0.0,-1.3,-1.3,0.5,1286,16.0,.621,.378,.408,3.1,16.3,9.6,13.3,1.0,0.4,9.9,17.6,,2.8,0.0,2.8,.103,,1.5,-1.6,-0.1,0.6,24147727,22215909,https://www.2kratings.com/wp-content/uploads/Harrison-Barnes-2K-Rating.png
RJ Barrett,SG,19,NYK,56,55,30.4,5.2,13.0,.402,1.1,3.5,.320,4.1,9.5,.432,.445,2.8,4.5,.614,0.9,4.1,5.0,2.6,1.0,0.3,2.2,2.2,14.3,barrerj01,SG,20,41,41,33.4,6.5,14.5,.450,1.2,3.3,.356,5.3,11.2,.478,.491,3.0,4.1,.734,1.2,4.8,6.0,3.0,0.7,0.2,1.9,2.6,17.2,1704,10.7,.479,.271,.349,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,,-1.6,1.1,-0.5,-0.015,,-2.9,-1.5,-4.3,-1.0,1368,14.2,.529,.228,.285,3.8,15.4,9.6,14.5,1.1,0.6,10.2,23.9,,0.6,1.5,2.2,.077,,-1.0,-0.5,-1.4,0.2,7839960,8231760,https://www.2kratings.com/wp-content/uploads/RJ-Barrett-2K-Rating.png
Will Barton,SF,29,DEN,58,58,33.0,5.7,12.7,.450,1.9,5.0,.375,3.9,7.8,.498,.523,1.8,2.3,.767,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1,15.1,bartowi01,SF,30,36,32,30.3,4.7,10.6,.445,1.8,4.3,.417,2.9,6.3,.465,.530,1.2,1.6,.750,0.6,3.4,4.1,3.1,0.8,0.4,1.7,1.6,12.4,1916,15.6,.549,.390,.180,4.5,16.9,10.7,16.0,1.6,1.4,9.9,20.1,,2.4,1.8,4.2,.106,,1.2,-0.2,1.1,1.5,1092,12.2,.550,.408,.147,2.3,12.7,7.6,14.1,1.4,1.4,12.9,18.7,,0.6,0.9,1.4,.063,,-0.5,-1.1,-1.6,0.1,12960000,13920000,https://www.2kratings.com/wp-content/uploads/Will-Barton-2K-Rating.png
Keita Bates-Diop,PF-SF,24,SAS,44,0,16.9,2.3,5.3,.427,0.8,2.3,.330,1.5,3.0,.504,.500,1.2,1.7,.720,0.6,2.3,2.9,0.7,0.4,0.5,0.4,1.0,6.5,bateske01,SF,25,16,0,7.4,0.7,2.0,.344,0.3,0.9,.333,0.4,1.1,.353,.422,0.4,0.6,.700,0.3,0.9,1.3,0.4,0.4,0.1,0.1,0.3,2.1,744,12.4,.539,.440,.321,3.5,15.1,9.1,5.8,1.2,2.7,6.0,15.8,,0.6,0.6,1.2,.078,,-1.0,-0.4,-1.4,0.1,118,10.9,.467,.469,.313,4.4,13.6,8.9,7.7,2.5,0.7,2.7,13.8,,0.0,0.2,0.2,.078,,-2.6,0.5,-2.0,0.0,1416852,,https://www.2kratings.com/wp-content/uploads/Keita-Bates-Diop-2K-Rating.png
Nicolas Batum,SF,31,LAC,22,3,23.0,1.3,3.7,.346,0.6,2.2,.286,0.6,1.5,.438,.432,0.4,0.5,.900,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6,batumni01,SF,32,38,37,28.8,3.1,6.5,.476,1.9,4.4,.440,1.2,2.1,.550,.625,0.8,0.9,.833,0.9,3.9,4.7,2.3,1.2,0.3,0.7,1.7,8.9,505,9.2,.463,.605,.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,,0.2,0.4,0.6,.055,,-2.8,0.9,-1.9,0.0,1093,13.6,.644,.677,.145,3.5,14.8,9.2,10.4,2.0,1.0,9.6,11.8,,2.0,1.2,3.2,.140,,0.9,0.4,1.4,0.9,25565217,29695187,https://www.2kratings.com/wp-content/uploads/Nicolas-Batum-2K-Rating.png
Aron Baynes,C,33,TOR,42,28,22.2,4.4,9.1,.480,1.4,4.0,.351,3.0,5.1,.582,.558,1.3,1.8,.747,1.7,4.0,5.6,1.6,0.2,0.5,1.2,3.4,11.5,baynear01,C,34,36,29,19.7,2.6,6.3,.420,0.6,2.1,.260,2.1,4.1,.503,.465,0.5,0.7,.750,1.8,3.8,5.6,1.0,0.3,0.4,0.9,2.3,6.3,934,15.2,.581,.441,.197,8.3,20.0,14.1,10.9,0.5,2.1,10.8,21.1,,1.3,0.8,2.1,.107,,-0.2,-0.8,-1.0,0.2,709,9.8,.482,.341,.106,9.6,22.2,15.7,7.4,0.7,2.2,11.9,16.3,,-0.1,0.7,0.6,.040,,-3.6,-1.4,-5.0,-0.5,5453280,6975610,https://www.2kratings.com/wp-content/uploads/Aron-Baynes-2K-Rating.png
