player,2020_pos,2020_age,team_id,2020_g,2020_gs,2020_mp_per_g,2020_fg_per_g,2020_fga_per_g,2020_fg_pct,2020_fg3_per_g,2020_fg3a_per_g,2020_fg3_pct,2020_fg2_per_g,2020_fg2a_per_g,2020_fg2_pct,2020_efg_pct,2020_ft_per_g,2020_fta_per_g,2020_ft_pct,2020_orb_per_g,2020_drb_per_g,2020_trb_per_g,2020_ast_per_g,2020_stl_per_g,2020_blk_per_g,2020_tov_per_g,2020_pf_per_g,2020_pts_per_g,player_id,2021_pos,2021_age,2021_g,2021_gs,2021_mp_per_g,2021_fg_per_g,2021_fga_per_g,2021_fg_pct,2021_fg3_per_g,2021_fg3a_per_g,2021_fg3_pct,2021_fg2_per_g,2021_fg2a_per_g,2021_fg2_pct,2021_efg_pct,2021_ft_per_g,2021_fta_per_g,2021_ft_pct,2021_orb_per_g,2021_drb_per_g,2021_trb_per_g,2021_ast_per_g,2021_stl_per_g,2021_blk_per_g,2021_tov_per_g,2021_pf_per_g,2021_pts_per_g,2020_mp,2020_per,2020_ts_pct,2020_fg3a_per_fga_pct,2020_fta_per_fga_pct,2020_orb_pct,2020_drb_pct,2020_trb_pct,2020_ast_pct,2020_stl_pct,2020_blk_pct,2020_tov_pct,2020_usg_pct,2020_ws-dum,2020_ows,2020_dws,2020_ws,2020_ws_per_48,2020_bpm-dum,2020_obpm,2020_dbpm,2020_bpm,2020_vorp,2021_mp,2021_per,2021_ts_pct,2021_fg3a_per_fga_pct,2021_fta_per_fga_pct,2021_orb_pct,2021_drb_pct,2021_trb_pct,2021_ast_pct,2021_stl_pct,2021_blk_pct,2021_tov_pct,2021_usg_pct,2021_ws-dum,2021_ows,2021_dws,2021_ws,2021_ws_per_48,2021_bpm-dum,2021_obpm,2021_dbpm,2021_bpm,2021_vorp,2020_salary,2021_salary,img_link
Nathan Knight,,,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,knighna01,PF,23,13,0,8.0,1.4,2.9,.474,0.4,0.8,.455,1.0,2.1,.481,.539,1.5,1.7,.909,1.1,1.2,2.2,0.3,0.2,0.5,0.7,0.8,4.7,,,,,,,,,,,,,,,,,,,,,,,,104,21.6,.640,.289,.579,14.9,15.5,15.2,5.9,1.4,5.1,15.9,23.4,,0.3,0.1,0.4,.179,,2.2,0.5,2.7,0.1,,,https://www.2kratings.com/wp-content/uploads/Nathan-Knight-2K-Rating.png
Anthony Lamb,,,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,lamban01,SF,23,4,0,18.5,0.5,5.0,.100,0.5,3.3,.154,0.0,1.8,.000,.150,0.0,0.0,,2.0,2.3,4.3,0.3,0.0,0.0,0.5,2.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,74,-3.8,.150,.650,.000,10.9,13.6,12.2,1.7,0.0,0.0,9.1,12.6,,-0.3,0.0,-0.2,-0.152,,-12.3,-4.3,-16.6,-0.2,,,https://www.basketball-reference.com/req/202101021/images/players/lamban01.jpg
Saben Lee,,,DET,,,,,,,,,,,,,,,,,,,,,,,,,,leesa01,PG,21,18,0,15.5,2.3,4.5,.519,0.2,0.4,.571,2.1,4.1,.514,.543,1.4,2.3,.634,0.4,1.3,1.8,2.6,0.7,0.3,0.9,1.6,6.3,,,,,,,,,,,,,,,,,,,,,,,,279,15.3,.576,.086,.506,3.1,9.9,6.4,26.4,2.1,1.6,13.9,18.0,,0.4,0.3,0.7,.116,,-1.9,0.8,-1.0,0.1,,,https://www.2kratings.com/wp-content/uploads/Saben-Lee-2K-Rating.png
Kira Lewis Jr.,,,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,lewiski01,PG,19,25,0,14.2,2.2,5.6,.390,0.6,1.9,.333,1.6,3.7,.419,.447,0.5,0.8,.650,0.2,0.8,1.0,1.9,0.8,0.1,0.5,1.3,5.6,,,,,,,,,,,,,,,,,,,,,,,,354,10.5,.464,.340,.142,1.3,6.6,3.9,18.3,2.6,0.6,8.0,19.5,,0.0,0.2,0.2,.028,,-3.6,-0.7,-4.3,-0.2,,3640200,https://www.basketball-reference.com/req/202101021/images/players/lewiski01.jpg
Théo Maledon,,,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,maledth01,PG,19,34,19,26.3,2.9,7.2,.398,1.5,4.1,.369,1.3,3.0,.437,.504,0.7,1.0,.706,0.2,2.8,3.1,3.4,0.9,0.1,1.9,2.4,7.9,,,,,,,,,,,,,,,,,,,,,,,,893,7.7,.521,.578,.139,1.0,11.2,6.1,18.7,1.7,0.2,20.3,15.9,,-0.6,0.9,0.3,.014,,-4.6,-0.3,-4.9,-0.7,,2000000,https://www.2kratings.com/wp-content/uploads/Theo-Maledon-2K-Rating.png
Karim Mané,,,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,maneka01,PG,20,6,0,9.3,0.2,1.5,.111,0.2,0.3,.500,0.0,1.2,.000,.167,0.7,0.7,1.000,0.0,1.7,1.7,0.2,0.0,0.2,0.5,0.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,56,-0.8,.325,.222,.444,0.0,19.2,9.3,2.3,0.0,1.7,21.8,10.6,,-0.1,0.0,-0.1,-0.090,,-9.4,-2.0,-11.4,-0.1,,,https://www.2kratings.com/wp-content/uploads/Karim-Mane-2K-Rating.png
Nico Mannion,,,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,mannini01,PG,19,10,1,12.0,1.4,4.0,.350,0.9,2.4,.375,0.5,1.6,.313,.463,0.6,1.0,.600,0.1,1.7,1.8,2.6,0.6,0.0,1.2,1.6,4.3,,,,,,,,,,,,,,,,,,,,,,,,120,8.7,.484,.600,.250,0.9,14.8,7.9,29.4,2.3,0.0,21.3,19.9,,-0.1,0.2,0.0,.013,,-3.9,0.4,-3.6,0.0,,,https://www.2kratings.com/wp-content/uploads/Nico-Mannion-2K-Rating.png
Naji Marshall,,,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,marshna01,SF,23,5,0,3.4,0.2,0.8,.250,0.0,0.4,.000,0.2,0.4,.500,.250,0.2,0.4,.500,0.0,0.4,0.4,0.4,0.0,0.2,0.2,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,17,2.2,.307,.500,.500,0.0,13.1,6.6,14.1,0.0,5.8,17.0,14.7,,0.0,0.0,0.0,-0.107,,-6.3,-0.3,-6.5,0.0,,,https://www.2kratings.com/wp-content/uploads/Naji-Marshall-2K-Rating.png
Kenyon Martin Jr.,,,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,martike04,SF,20,11,0,17.6,2.8,6.1,.463,0.4,1.2,.308,2.5,4.9,.500,.493,1.2,1.8,.650,2.1,2.2,4.3,0.9,0.6,1.1,1.1,1.3,7.2,,,,,,,,,,,,,,,,,,,,,,,,194,15.4,.521,.194,.299,12.0,13.8,12.9,8.0,1.7,5.4,13.7,19.2,,0.0,0.3,0.3,.074,,-1.9,0.2,-1.8,0.0,,898310,https://www.basketball-reference.com/req/202101021/images/players/martike04.jpg
Dakota Mathias,,,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,mathida01,SG,25,8,2,15.4,2.4,6.0,.396,1.0,3.3,.308,1.4,2.8,.500,.479,0.3,0.8,.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,123,9.8,.474,.542,.125,0.9,5.2,3.1,14.8,0.4,2.1,1.9,17.8,,0.1,0.1,0.2,.061,,-1.9,-1.7,-3.6,0.0,,,https://www.2kratings.com/wp-content/uploads/Dakota-Mathias-2K-Rating.png
